date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-12-01,2,-1,2.8,3.5,1,26,12:30 PM,10:20 PM,08:05 AM,05:29 PM,1,-3,2,-3,34,91,93,3.7,998,2,5,262,22,Ohio
2019-12-02,1,-3,0.5,7.0,1,33,01:05 PM,11:21 PM,08:06 AM,05:29 PM,-5,-6,-2,-6,24,42,78,0.6,1017,1,9,317,18,Ohio
2019-12-03,6,-2,0.0,7.0,1,41,01:35 PM,No moonset,08:07 AM,05:28 PM,-3,-3,1,-3,25,43,74,0.0,1009,6,10,240,16,Ohio
2019-12-04,5,-0,0.0,8.7,2,48,02:01 PM,12:20 AM,08:08 AM,05:28 PM,-2,-3,1,-3,32,16,80,0.0,1009,5,10,288,20,Ohio
2019-12-05,6,-1,0.0,8.7,1,55,02:26 PM,01:20 AM,08:09 AM,05:28 PM,-1,-0,2,-0,13,36,84,0.0,1016,6,10,250,8,Ohio
2019-12-06,2,-1,0.0,8.7,1,62,02:50 PM,02:18 AM,08:10 AM,05:28 PM,-3,-3,1,-3,21,27,78,0.0,1025,2,10,118,14,Ohio
2019-12-07,4,-2,0.0,8.7,2,70,03:14 PM,03:18 AM,08:11 AM,05:28 PM,-5,-3,0,-3,21,5,69,0.0,1026,4,10,169,13,Ohio
2019-12-08,7,1,0.0,3.4,2,77,03:40 PM,04:17 AM,08:12 AM,05:28 PM,2,0,4,0,32,63,83,0.0,1013,7,10,200,20,Ohio
2019-12-09,9,-6,0.0,3.4,1,84,04:07 PM,05:20 AM,08:12 AM,05:28 PM,1,-1,4,-1,26,97,84,0.6,1004,9,7,241,18,Ohio
2019-12-10,-6,-9,0.0,8.7,2,92,04:40 PM,06:23 AM,08:13 AM,05:28 PM,-17,-15,-8,-15,25,24,49,0.0,1023,-6,10,292,20,Ohio
2019-12-11,-4,-9,1.1,5.2,1,99,05:19 PM,07:29 AM,08:14 AM,05:28 PM,-12,-11,-7,-11,14,48,69,1.3,1031,-4,7,249,10,Ohio
2019-12-12,6,-7,0.0,8.7,2,100,06:05 PM,08:33 AM,08:15 AM,05:28 PM,-5,-5,0,-5,36,36,71,0.0,1023,6,10,170,22,Ohio
2019-12-13,4,-1,0.0,8.7,1,87,07:00 PM,09:36 AM,08:16 AM,05:28 PM,-1,-0,1,-0,19,61,85,0.0,1014,4,10,184,11,Ohio
2019-12-14,-1,-6,0.0,6.9,1,79,08:03 PM,10:32 AM,08:16 AM,05:28 PM,-6,-7,-2,-7,23,44,75,0.0,1011,-1,10,273,17,Ohio
2019-12-15,-4,-8,0.9,5.2,1,72,09:12 PM,11:22 AM,08:17 AM,05:29 PM,-13,-10,-6,-10,15,53,60,1.1,1020,-4,9,236,12,Ohio
2019-12-16,-2,-6,0.8,5.2,1,65,10:23 PM,12:04 PM,08:18 AM,05:29 PM,-6,-8,-4,-8,17,68,85,0.9,1022,-2,9,140,12,Ohio
2019-12-17,-2,-7,0.0,8.7,2,58,11:35 PM,12:40 PM,08:19 AM,05:29 PM,-7,-10,-4,-10,29,26,84,0.0,1021,-2,10,284,19,Ohio
2019-12-18,-7,-11,0.0,8.7,2,50,No moonrise,01:12 PM,08:19 AM,05:30 PM,-14,-14,-8,-14,19,25,63,0.0,1027,-7,10,297,13,Ohio
2019-12-19,2,-8,0.0,8.7,2,43,12:47 AM,01:42 PM,08:20 AM,05:30 PM,-6,-8,-3,-8,25,8,81,0.0,1025,2,10,194,16,Ohio
2019-12-20,3,-2,0.0,5.2,1,36,01:58 AM,02:10 PM,08:20 AM,05:30 PM,-1,-3,0,-3,24,47,89,0.0,1029,3,10,188,13,Ohio
2019-12-21,5,-1,0.0,8.7,2,28,03:09 AM,02:40 PM,08:21 AM,05:31 PM,-0,-2,2,-2,24,6,86,0.0,1027,5,10,215,13,Ohio
2019-12-22,8,1,0.0,8.7,2,21,04:19 AM,03:12 PM,08:21 AM,05:31 PM,1,0,4,0,30,5,81,0.0,1023,8,10,209,17,Ohio
2019-12-23,8,2,0.0,8.7,3,14,05:31 AM,03:47 PM,08:22 AM,05:32 PM,1,2,4,2,25,21,78,0.0,1019,8,10,210,13,Ohio
2019-12-24,11,2,0.0,8.7,2,7,06:40 AM,04:27 PM,08:22 AM,05:33 PM,3,3,6,3,27,35,81,0.0,1016,11,10,185,15,Ohio
2019-12-25,13,5,0.0,8.7,3,0,07:47 AM,05:15 PM,08:23 AM,05:33 PM,7,6,9,6,29,23,87,0.0,1011,13,10,190,16,Ohio
2019-12-26,13,3,0.0,5.2,3,0,08:47 AM,06:07 PM,08:23 AM,05:34 PM,7,7,10,7,30,47,83,0.0,1014,13,10,224,19,Ohio
2019-12-27,3,-1,0.0,8.7,1,0,09:41 AM,07:05 PM,08:23 AM,05:34 PM,-3,-2,1,-2,16,22,77,0.0,1024,3,10,256,11,Ohio
2019-12-28,8,0,0.0,3.4,1,8,10:25 AM,08:05 PM,08:24 AM,05:35 PM,2,0,4,0,32,76,84,8.5,1017,8,8,133,19,Ohio
2019-12-29,14,8,0.0,8.7,3,15,11:03 AM,09:07 PM,08:24 AM,05:36 PM,9,10,12,10,36,73,85,19.5,1000,14,9,174,23,Ohio
2019-12-30,-1,-3,0.2,3.4,1,22,11:35 AM,10:07 PM,08:24 AM,05:37 PM,-4,-7,-0,-7,30,97,78,0.8,1001,-1,6,244,23,Ohio
2019-12-31,-1,-4,0.1,6.9,1,26,12:03 PM,11:07 PM,08:24 AM,05:37 PM,-6,-9,-3,-9,35,64,81,1.2,1009,-1,8,280,26,Ohio
2020-01-01,3,-5,0.0,8.7,2,37,12:28 PM,No moonset,08:24 AM,05:38 PM,-6,-6,-1,-6,27,1,72,0.0,1011,3,10,226,17,Ohio
2020-01-02,7,2,0.0,6.9,1,44,12:52 PM,12:06 AM,08:24 AM,05:39 PM,2,1,4,1,28,46,84,0.0,1002,7,10,197,17,Ohio
2020-01-03,2,-1,0.0,3.4,1,51,01:16 PM,01:04 AM,08:25 AM,05:40 PM,-1,-3,1,-3,19,89,84,0.1,1008,2,10,305,14,Ohio
2020-01-04,-1,-3,1.7,5.2,1,59,01:40 PM,02:03 AM,08:25 AM,05:41 PM,-3,-5,-1,-5,19,69,87,2.0,1016,-1,7,272,14,Ohio
2020-01-05,3,-2,0.0,8.7,1,66,02:06 PM,03:04 AM,08:25 AM,05:42 PM,-3,-5,1,-5,39,17,74,0.0,1017,3,10,253,25,Ohio
2020-01-06,3,-3,0.0,5.2,1,73,02:36 PM,04:06 AM,08:24 AM,05:43 PM,-6,-5,-0,-5,22,41,68,0.0,1020,3,10,250,13,Ohio
2020-01-07,2,-2,0.0,7.0,1,80,03:12 PM,05:10 AM,08:24 AM,05:44 PM,-5,-5,-0,-5,28,53,69,0.0,1018,2,10,264,18,Ohio
2020-01-08,-4,-8,0.0,8.7,2,88,03:55 PM,06:15 AM,08:24 AM,05:45 PM,-16,-12,-6,-12,26,17,44,0.0,1028,-4,10,178,18,Ohio
2020-01-09,7,-4,0.0,3.5,1,95,04:46 PM,07:20 AM,08:24 AM,05:46 PM,-0,-2,3,-2,50,74,76,0.4,1016,7,9,171,30,Ohio
2020-01-10,5,1,0.0,3.5,1,100,05:47 PM,08:20 AM,08:24 AM,05:47 PM,3,0,4,0,24,100,91,15.6,1015,5,7,68,16,Ohio
2020-01-11,-4,-6,0.4,3.5,1,100,06:55 PM,09:14 AM,08:24 AM,05:48 PM,-5,-12,-4,-12,50,99,92,9.9,1012,-4,5,25,35,Ohio
2020-01-12,-4,-11,0.5,5.2,1,83,08:08 PM,10:00 AM,08:23 AM,05:49 PM,-7,-12,-7,-12,20,70,90,0.9,1022,-4,9,156,14,Ohio
2020-01-13,2,-3,0.3,3.5,1,76,09:23 PM,10:40 AM,08:23 AM,05:50 PM,-0,-2,0,-2,14,93,96,0.4,1024,2,5,187,9,Ohio
2020-01-14,4,-3,0.0,7.0,1,69,10:36 PM,11:15 AM,08:23 AM,05:51 PM,-1,-4,1,-4,29,51,85,0.5,1019,4,8,235,19,Ohio
2020-01-15,4,-5,0.0,3.5,1,61,11:49 PM,11:46 AM,08:22 AM,05:52 PM,-4,-4,0,-4,33,58,82,0.2,1019,4,9,185,22,Ohio
2020-01-16,-10,-14,0.0,8.7,2,54,No moonrise,12:14 PM,08:22 AM,05:53 PM,-16,-18,-10,-18,25,16,63,0.0,1040,-10,10,259,20,Ohio
2020-01-17,-4,-11,3.7,3.5,1,47,01:00 AM,12:43 PM,08:21 AM,05:55 PM,-11,-12,-7,-12,28,61,70,4.5,1036,-4,7,116,19,Ohio
2020-01-18,3,-14,0.0,3.5,1,40,02:11 AM,01:14 PM,08:21 AM,05:56 PM,-5,-12,-4,-12,49,100,92,7.5,1013,3,6,232,34,Ohio
2020-01-19,-17,-19,0.0,3.5,1,32,03:21 AM,01:48 PM,08:20 AM,05:57 PM,-20,-29,-17,-29,38,100,81,0.0,1029,-17,10,296,29,Ohio
