date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-12-01,-7,-15,0.3,8.7,1,26,01:09 PM,10:49 PM,08:41 AM,05:53 PM,-13,-14,-11,-14,12,27,85,0.3,1032,-7,9,147,7,Idaho
2019-12-02,-2,-8,5.7,3.4,1,33,01:42 PM,11:51 PM,08:42 AM,05:53 PM,-5,-6,-5,-6,8,98,95,6.7,1027,-2,4,260,5,Idaho
2019-12-03,0,-3,1.1,3.4,1,41,02:10 PM,No moonset,08:43 AM,05:53 PM,-2,-3,-1,-3,12,99,98,1.3,1028,0,6,241,7,Idaho
2019-12-04,0,-4,0.1,6.9,1,48,02:35 PM,12:51 AM,08:44 AM,05:52 PM,-3,-3,-2,-3,6,58,91,0.1,1023,0,9,99,4,Idaho
2019-12-05,-2,-9,0.1,5.2,1,55,02:59 PM,01:52 AM,08:45 AM,05:52 PM,-7,-7,-5,-7,7,64,90,0.1,1023,-2,10,100,4,Idaho
2019-12-06,1,-3,1.4,6.9,1,62,03:22 PM,02:52 AM,08:46 AM,05:52 PM,-2,-2,-1,-2,8,68,96,1.7,1026,1,6,115,5,Idaho
2019-12-07,1,-6,0.3,6.9,1,70,03:45 PM,03:52 AM,08:47 AM,05:52 PM,-4,-4,-2,-4,12,53,88,0.4,1021,1,10,148,6,Idaho
2019-12-08,1,-0,0.3,3.4,1,77,04:09 PM,04:54 AM,08:48 AM,05:52 PM,0,-4,1,-4,30,91,95,0.4,1011,1,8,210,20,Idaho
2019-12-09,-2,-3,1.4,3.4,1,84,04:36 PM,05:57 AM,08:49 AM,05:52 PM,-3,-4,-2,-4,8,78,95,1.7,1024,-2,5,105,5,Idaho
2019-12-10,-2,-6,1.4,3.4,1,92,05:08 PM,07:02 AM,08:50 AM,05:52 PM,-5,-7,-4,-7,5,83,95,1.7,1030,-2,5,141,3,Idaho
2019-12-11,0,-7,1.9,3.4,1,99,05:46 PM,08:08 AM,08:51 AM,05:52 PM,-4,-6,-3,-6,7,82,92,2.2,1026,0,7,159,5,Idaho
2019-12-12,2,0,5.3,3.4,1,100,06:32 PM,09:14 AM,08:52 AM,05:52 PM,1,-4,1,-4,36,98,99,6.4,1019,2,5,213,23,Idaho
2019-12-13,0,-3,0.7,6.9,1,87,07:28 PM,10:16 AM,08:52 AM,05:52 PM,-3,-6,-1,-6,35,61,89,0.8,1021,0,9,226,21,Idaho
2019-12-14,-3,-7,3.2,5.1,1,79,08:31 PM,11:12 AM,08:53 AM,05:52 PM,-6,-8,-5,-8,8,72,92,3.9,1016,-3,5,275,5,Idaho
2019-12-15,-7,-11,0.3,6.9,1,72,09:41 PM,12:00 PM,08:54 AM,05:53 PM,-10,-10,-9,-10,10,69,93,0.5,1024,-7,7,185,6,Idaho
2019-12-16,-10,-15,0.7,3.4,1,65,10:54 PM,12:41 PM,08:55 AM,05:53 PM,-14,-14,-13,-14,5,77,94,0.8,1038,-10,5,155,3,Idaho
2019-12-17,-11,-18,0.4,8.7,1,58,No moonrise,01:16 PM,08:55 AM,05:53 PM,-16,-19,-15,-19,14,39,91,0.5,1044,-11,9,13,7,Idaho
2019-12-18,-7,-16,0.0,8.7,1,50,12:07 AM,01:47 PM,08:56 AM,05:54 PM,-16,-16,-12,-16,13,57,75,0.0,1030,-7,10,65,6,Idaho
2019-12-19,-6,-13,0.1,8.7,2,43,01:20 AM,02:14 PM,08:57 AM,05:54 PM,-13,-11,-10,-11,7,41,79,0.1,1027,-6,10,211,3,Idaho
2019-12-20,-1,-6,0.1,6.9,1,36,02:32 AM,02:42 PM,08:57 AM,05:54 PM,-6,-5,-4,-5,11,41,89,0.1,1032,-1,10,135,6,Idaho
2019-12-21,-2,-8,0.0,8.7,2,28,03:45 AM,03:10 PM,08:58 AM,05:55 PM,-8,-8,-6,-8,13,9,81,0.0,1028,-2,10,55,6,Idaho
2019-12-22,2,-5,0.0,8.7,1,21,04:57 AM,03:41 PM,08:58 AM,05:55 PM,-7,-4,-2,-4,10,41,71,0.0,1019,2,10,106,5,Idaho
2019-12-23,-0,-6,0.0,6.9,1,14,06:10 AM,04:15 PM,08:59 AM,05:56 PM,-8,-5,-3,-5,12,63,72,0.0,1016,-0,10,93,6,Idaho
2019-12-24,2,-1,3.9,5.1,1,7,07:21 AM,04:55 PM,08:59 AM,05:56 PM,-1,-3,-0,-3,15,87,93,4.6,1010,2,5,135,9,Idaho
2019-12-25,-3,-8,0.6,5.0,1,0,08:27 AM,05:42 PM,09:00 AM,05:57 PM,-5,-8,-5,-8,11,70,93,1.0,1014,-3,8,221,7,Idaho
2019-12-26,-6,-12,0.0,6.9,1,0,09:28 AM,06:34 PM,09:00 AM,05:58 PM,-10,-12,-9,-12,10,68,90,0.0,1025,-6,9,107,5,Idaho
2019-12-27,-9,-14,0.3,6.9,1,0,10:20 AM,07:33 PM,09:00 AM,05:58 PM,-13,-15,-12,-15,7,56,92,0.3,1026,-9,8,261,4,Idaho
2019-12-28,-12,-18,0.1,6.9,1,8,11:04 AM,08:34 PM,09:00 AM,05:59 PM,-16,-18,-15,-18,6,55,93,0.1,1030,-12,7,88,3,Idaho
2019-12-29,-10,-17,0.5,3.4,1,15,11:41 AM,09:36 PM,09:01 AM,06:00 PM,-15,-18,-14,-18,13,76,92,0.7,1031,-10,7,15,7,Idaho
2019-12-30,-10,-15,0.0,8.7,2,22,12:11 PM,10:38 PM,09:01 AM,06:01 PM,-15,-17,-13,-17,16,30,86,0.0,1033,-10,10,66,8,Idaho
2019-12-31,-8,-16,0.6,3.4,1,26,12:38 PM,11:39 PM,09:01 AM,06:01 PM,-12,-13,-11,-13,8,78,93,0.7,1032,-8,6,144,4,Idaho
2020-01-01,-5,-9,3.9,3.4,1,37,01:02 PM,No moonset,09:01 AM,06:02 PM,-8,-10,-8,-10,10,92,96,4.6,1014,-5,3,236,6,Idaho
2020-01-02,-6,-12,0.1,6.9,1,44,01:25 PM,12:38 AM,09:01 AM,06:03 PM,-9,-13,-8,-13,16,61,94,0.1,1019,-6,6,222,9,Idaho
2020-01-03,-6,-11,1.9,3.4,1,51,01:47 PM,01:39 AM,09:01 AM,06:04 PM,-9,-10,-8,-10,7,88,95,2.2,1031,-6,4,226,4,Idaho
2020-01-04,0,-10,0.0,5.2,1,59,02:10 PM,02:38 AM,09:01 AM,06:05 PM,-8,-10,-6,-10,24,33,88,0.0,1029,0,10,201,13,Idaho
2020-01-05,-5,-11,3.8,3.4,1,66,02:35 PM,03:41 AM,09:01 AM,06:06 PM,-8,-11,-8,-11,18,88,90,4.5,1031,-5,7,134,11,Idaho
2020-01-06,-4,-9,0.6,3.4,1,73,03:05 PM,04:44 AM,09:01 AM,06:07 PM,-7,-13,-6,-13,31,79,93,0.7,1036,-4,9,226,20,Idaho
2020-01-07,-4,-8,0.1,6.9,1,80,03:40 PM,05:50 AM,09:01 AM,06:08 PM,-7,-9,-5,-9,15,54,91,0.1,1029,-4,10,157,8,Idaho
2020-01-08,-1,-8,0.9,3.4,1,88,04:22 PM,06:56 AM,09:01 AM,06:09 PM,-5,-9,-4,-9,27,81,92,1.4,1013,-1,7,248,18,Idaho
2020-01-09,-4,-9,1.5,6.3,1,95,05:14 PM,08:00 AM,09:00 AM,06:10 PM,-6,-10,-5,-10,30,81,93,1.9,1014,-4,6,243,21,Idaho
2020-01-10,-9,-16,0.2,8.1,1,100,06:15 PM,09:00 AM,09:00 AM,06:11 PM,-13,-15,-12,-15,9,56,92,0.2,1031,-9,6,223,5,Idaho
2020-01-11,-7,-12,4.0,4.6,1,100,07:25 PM,09:54 AM,09:00 AM,06:12 PM,-10,-11,-10,-11,6,94,95,4.7,1020,-7,4,222,4,Idaho
2020-01-12,-4,-8,2.5,4.8,1,83,08:38 PM,10:38 AM,08:59 AM,06:13 PM,-7,-13,-6,-13,34,92,93,4.5,1019,-4,2,222,22,Idaho
2020-01-13,-7,-11,0.9,6.5,1,76,09:55 PM,11:17 AM,08:59 AM,06:15 PM,-10,-16,-8,-16,47,75,87,3.3,1017,-7,7,203,30,Idaho
2020-01-14,-3,-9,0.8,8.2,1,69,11:10 PM,11:49 AM,08:59 AM,06:16 PM,-7,-13,-6,-13,39,75,89,2.6,1015,-3,6,208,24,Idaho
2020-01-15,-7,-13,0.3,4.8,1,61,No moonrise,12:18 PM,08:58 AM,06:17 PM,-10,-14,-9,-14,24,81,93,3.3,1026,-7,7,178,14,Idaho
2020-01-16,-2,-14,1.0,4.8,1,54,12:23 AM,12:46 PM,08:58 AM,06:18 PM,-9,-11,-7,-11,14,84,85,1.2,1018,-2,6,100,7,Idaho
2020-01-17,-3,-12,0.3,4.8,1,47,01:37 AM,01:14 PM,08:57 AM,06:19 PM,-8,-13,-6,-13,36,81,86,0.5,1019,-3,8,193,22,Idaho
2020-01-18,-8,-14,0.0,4.8,1,40,02:48 AM,01:43 PM,08:57 AM,06:21 PM,-12,-14,-10,-14,13,82,89,0.0,1037,-8,10,212,7,Idaho
2020-01-19,-7,-15,0.0,9.7,2,32,03:59 AM,02:15 PM,08:56 AM,06:22 PM,-13,-16,-11,-16,13,10,86,0.0,1038,-7,10,14,7,Idaho
2020-01-20,-1,-10,0.0,4.8,1,25,05:09 AM,02:53 PM,08:55 AM,06:23 PM,-8,-9,-6,-9,12,56,80,0.0,1029,-1,10,140,6,Idaho
2020-01-21,-0,-8,1.5,6.5,1,18,06:16 AM,03:36 PM,08:55 AM,06:24 PM,-3,-5,-3,-5,13,82,94,1.8,1020,-0,6,185,8,Idaho
2020-01-22,-2,-7,0.3,6.5,1,11,07:18 AM,04:25 PM,08:54 AM,06:26 PM,-4,-10,-4,-10,33,83,94,1.2,1023,-2,7,218,21,Idaho
2020-01-23,-3,-11,0.5,4.9,1,3,08:12 AM,05:21 PM,08:53 AM,06:27 PM,-6,-8,-5,-8,9,97,95,0.6,1029,-3,3,215,5,Idaho
2020-01-24,0,-9,2.5,4.9,1,0,08:59 AM,06:20 PM,08:52 AM,06:28 PM,-2,-5,-3,-5,14,99,97,2.9,1022,0,4,162,9,Idaho
2020-01-25,-0,-5,0.6,4.9,1,0,09:39 AM,07:23 PM,08:51 AM,06:30 PM,-2,-5,-1,-5,20,78,95,0.7,1024,-0,6,198,13,Idaho
2020-01-26,0,-6,1.4,4.9,1,4,10:11 AM,08:25 PM,08:50 AM,06:31 PM,-1,-3,-1,-3,13,96,97,1.7,1020,0,4,156,8,Idaho
