date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-12-01,25,16,0.0,14.0,5,26,09:41 AM,11:55 PM,05:47 AM,07:46 PM,8,20,20,20,18,17,49,2.4,1004,25,10,225,12,New_Mexico
2019-12-02,18,12,0.0,12.2,4,33,10:37 AM,No moonset,05:47 AM,07:47 PM,4,14,15,14,29,37,50,0.4,1001,18,10,284,21,New_Mexico
2019-12-03,24,8,0.0,14.0,5,41,11:33 AM,12:35 AM,05:47 AM,07:48 PM,2,16,16,16,18,1,41,0.0,1009,24,10,299,12,New_Mexico
2019-12-04,27,11,0.0,14.0,6,48,12:27 PM,01:11 AM,05:47 AM,07:48 PM,1,19,19,19,15,0,31,0.0,1011,27,10,240,10,New_Mexico
2019-12-05,29,13,0.0,14.0,6,55,01:21 PM,01:44 AM,05:47 AM,07:49 PM,2,22,22,22,11,2,29,0.0,1011,29,10,190,8,New_Mexico
2019-12-06,32,17,0.0,14.0,7,62,02:13 PM,02:14 AM,05:47 AM,07:50 PM,3,26,26,26,16,8,26,0.0,1009,32,10,176,11,New_Mexico
2019-12-07,32,17,0.0,14.0,7,70,03:07 PM,02:43 AM,05:47 AM,07:51 PM,2,26,26,26,10,2,25,0.0,1011,32,10,179,7,New_Mexico
2019-12-08,33,16,0.0,14.0,7,77,04:01 PM,03:13 AM,05:48 AM,07:51 PM,5,23,23,24,10,0,34,0.0,1016,33,10,176,7,New_Mexico
2019-12-09,35,16,0.0,14.0,7,84,04:56 PM,03:44 AM,05:48 AM,07:52 PM,11,25,25,26,13,4,46,0.0,1018,35,10,191,9,New_Mexico
2019-12-10,37,20,0.0,14.1,8,92,05:54 PM,04:17 AM,05:48 AM,07:53 PM,9,28,28,28,15,1,36,0.0,1014,37,10,136,10,New_Mexico
2019-12-11,38,20,0.0,14.1,6,99,06:54 PM,04:55 AM,05:48 AM,07:54 PM,12,27,27,27,16,15,45,0.4,1012,38,10,146,11,New_Mexico
2019-12-12,33,17,0.0,14.1,7,100,07:55 PM,05:37 AM,05:48 AM,07:54 PM,12,25,25,25,12,5,51,0.0,1010,33,10,175,8,New_Mexico
2019-12-13,31,17,0.0,14.1,6,87,08:56 PM,06:25 AM,05:48 AM,07:55 PM,14,23,23,23,14,17,60,1.1,1011,31,10,174,10,New_Mexico
2019-12-14,32,16,0.0,14.1,7,79,09:54 PM,07:21 AM,05:49 AM,07:56 PM,10,24,24,24,12,14,48,0.1,1010,32,10,207,8,New_Mexico
2019-12-15,33,16,0.0,14.1,7,72,10:47 PM,08:21 AM,05:49 AM,07:56 PM,8,25,25,25,12,6,38,0.0,1009,33,10,218,8,New_Mexico
2019-12-16,34,18,0.0,14.1,7,65,11:35 PM,09:26 AM,05:49 AM,07:57 PM,5,25,25,26,17,3,31,0.0,1010,34,10,176,13,New_Mexico
2019-12-17,34,14,0.0,14.1,7,58,No moonrise,10:31 AM,05:50 AM,07:57 PM,9,23,23,24,16,1,46,0.0,1016,34,10,139,10,New_Mexico
2019-12-18,35,14,0.0,14.1,7,50,12:18 AM,11:37 AM,05:50 AM,07:58 PM,7,24,24,25,11,1,38,0.0,1018,35,10,143,6,New_Mexico
2019-12-19,37,19,0.0,14.1,8,43,12:57 AM,12:41 PM,05:50 AM,07:59 PM,8,27,27,28,10,6,30,0.0,1016,37,10,159,6,New_Mexico
2019-12-20,39,20,0.0,14.1,8,36,01:34 AM,01:46 PM,05:51 AM,07:59 PM,8,29,29,30,12,2,29,0.0,1016,39,10,143,8,New_Mexico
2019-12-21,40,21,0.0,14.5,8,28,02:09 AM,02:49 PM,05:51 AM,08:00 PM,9,31,31,30,13,0,33,0.0,1014,40,10,186,9,New_Mexico
2019-12-22,38,19,0.0,14.5,8,21,02:45 AM,03:53 PM,05:52 AM,08:00 PM,12,28,28,28,17,2,43,0.0,1015,38,10,173,12,New_Mexico
2019-12-23,33,16,0.0,14.5,6,14,03:23 AM,04:58 PM,05:52 AM,08:01 PM,14,25,25,24,15,24,55,0.8,1016,33,9,166,10,New_Mexico
2019-12-24,34,20,0.0,14.5,6,7,04:04 AM,06:02 PM,05:53 AM,08:01 PM,15,26,26,26,17,20,57,1.7,1011,34,10,152,11,New_Mexico
2019-12-25,33,17,0.0,14.5,7,0,04:48 AM,07:05 PM,05:53 AM,08:01 PM,13,24,24,24,16,15,56,0.0,1014,33,10,115,11,New_Mexico
2019-12-26,34,15,0.0,14.5,7,0,05:38 AM,08:04 PM,05:54 AM,08:02 PM,10,24,24,24,15,5,48,0.0,1017,34,10,123,10,New_Mexico
2019-12-27,35,15,0.0,14.5,7,0,06:31 AM,08:59 PM,05:54 AM,08:02 PM,7,24,24,25,15,0,41,0.0,1018,35,10,113,9,New_Mexico
2019-12-28,35,14,0.0,14.5,7,8,07:27 AM,09:48 PM,05:55 AM,08:03 PM,5,24,24,24,9,0,38,0.0,1018,35,10,112,5,New_Mexico
2019-12-29,37,17,0.0,14.5,8,15,08:24 AM,10:30 PM,05:56 AM,08:03 PM,7,26,26,27,9,0,32,0.0,1017,37,10,124,5,New_Mexico
2019-12-30,36,19,0.0,14.5,8,22,09:21 AM,11:09 PM,05:56 AM,08:03 PM,5,27,27,28,12,0,26,0.0,1014,36,10,163,7,New_Mexico
2019-12-31,36,18,0.0,14.5,8,26,10:16 AM,11:43 PM,05:57 AM,08:04 PM,7,27,27,27,15,1,31,0.0,1011,36,10,169,10,New_Mexico
2020-01-01,38,20,0.0,14.5,8,37,11:11 AM,No moonset,05:58 AM,08:04 PM,11,31,31,30,18,22,39,3.3,1012,38,10,149,12,New_Mexico
2020-01-02,37,20,0.0,13.4,8,44,12:04 PM,12:13 AM,05:58 AM,08:04 PM,14,30,30,30,12,26,50,4.4,1015,37,10,166,8,New_Mexico
2020-01-03,38,21,0.0,14.5,8,51,12:56 PM,12:43 AM,05:59 AM,08:04 PM,14,31,31,31,14,11,45,0.7,1014,38,10,147,9,New_Mexico
2020-01-04,40,22,0.0,14.0,8,59,01:49 PM,01:13 AM,06:00 AM,08:04 PM,10,33,33,32,11,4,32,0.0,1012,40,10,162,7,New_Mexico
2020-01-05,38,24,0.0,13.4,8,66,02:43 PM,01:42 AM,06:00 AM,08:04 PM,11,32,32,31,15,21,34,1.0,1015,38,10,122,10,New_Mexico
2020-01-06,36,20,0.0,11.6,8,73,03:40 PM,02:14 AM,06:01 AM,08:05 PM,13,30,30,29,15,16,48,0.3,1016,36,10,170,9,New_Mexico
2020-01-07,34,20,0.0,10.5,7,80,04:38 PM,02:49 AM,06:02 AM,08:05 PM,16,28,28,27,14,41,59,8.0,1014,34,9,158,9,New_Mexico
2020-01-08,34,19,0.0,10.5,7,88,05:38 PM,03:29 AM,06:03 AM,08:05 PM,15,28,28,26,12,45,55,3.0,1014,34,10,128,8,New_Mexico
2020-01-09,34,21,0.0,9.3,6,95,06:39 PM,04:14 AM,06:04 AM,08:05 PM,17,29,29,28,13,58,62,9.5,1015,34,9,198,8,New_Mexico
2020-01-10,35,20,0.0,11.6,8,100,07:40 PM,05:07 AM,06:04 AM,08:05 PM,15,29,29,28,17,10,50,1.6,1012,35,10,223,12,New_Mexico
2020-01-11,31,25,0.0,11.6,7,100,08:37 PM,06:06 AM,06:05 AM,08:05 PM,15,28,28,28,15,17,46,0.0,1010,31,10,185,10,New_Mexico
2020-01-12,28,20,0.0,11.6,7,83,09:29 PM,07:11 AM,06:06 AM,08:05 PM,14,25,25,24,20,35,59,0.0,1013,28,10,114,16,New_Mexico
2020-01-13,32,14,0.0,11.6,7,76,10:15 PM,08:18 AM,06:07 AM,08:05 PM,10,24,24,23,16,5,50,0.0,1015,32,10,110,11,New_Mexico
2020-01-14,34,16,0.0,11.6,7,69,10:57 PM,09:27 AM,06:08 AM,08:04 PM,11,26,26,26,15,5,50,0.0,1015,34,10,137,10,New_Mexico
2020-01-15,33,16,0.0,11.6,7,61,11:35 PM,10:33 AM,06:09 AM,08:04 PM,12,25,25,25,13,5,51,0.0,1012,33,10,155,8,New_Mexico
2020-01-16,23,19,0.0,7.0,5,54,No moonrise,11:39 AM,06:09 AM,08:04 PM,17,21,22,21,16,65,77,20.1,1007,23,9,74,9,New_Mexico
2020-01-17,26,17,0.0,7.0,5,47,12:11 AM,12:43 PM,06:10 AM,08:04 PM,16,20,21,20,12,58,76,12.2,1007,26,9,133,7,New_Mexico
2020-01-18,23,18,0.0,10.4,5,40,12:47 AM,01:47 PM,06:11 AM,08:04 PM,18,20,20,20,16,71,88,52.7,1006,23,7,122,10,New_Mexico
