Region;Prøvetagningsdato;Køn;Bekræftede tilfælde;Døde;Indlæggelser;Kummuleret antal døde;Kummuleret antal bekræftede tilfælde;Kummuleret antal indlæggelser
Sjælland;26-2-2020;M;1;0;0;0;1;0
Hovedstaden;27-2-2020;M;1;0;0;0;2;0
Midtjylland;28-2-2020;M;1;0;0;0;3;0
Hovedstaden;1-3-2020;M;1;0;1;0;4;1
Hovedstaden;2-3-2020;M;2;0;1;0;6;2
Sjælland;2-3-2020;M;1;0;0;0;7;2
Syddanmark;2-3-2020;M;1;0;0;0;8;2
Hovedstaden;3-3-2020;F;1;0;0;0;9;2
Hovedstaden;3-3-2020;M;3;0;1;0;12;3
Hovedstaden;4-3-2020;M;2;0;0;0;14;3
Sjælland;4-3-2020;M;1;0;1;0;15;4
Hovedstaden;5-3-2020;F;4;1;1;1;19;5
Hovedstaden;5-3-2020;M;6;1;2;2;25;7
Nordjylland;6-3-2020;M;1;0;0;2;26;7
Sjælland;6-3-2020;M;1;0;1;2;27;8
Hovedstaden;7-3-2020;F;5;0;1;2;32;9
Hovedstaden;7-3-2020;M;3;0;1;2;35;10
Midtjylland;7-3-2020;M;1;0;0;2;36;10
Hovedstaden;8-3-2020;F;8;0;0;2;44;10
Midtjylland;8-3-2020;F;6;0;0;2;50;10
Sjælland;8-3-2020;F;2;0;1;2;52;11
Syddanmark;8-3-2020;F;1;0;0;2;53;11
Hovedstaden;8-3-2020;M;4;0;1;2;57;12
Midtjylland;8-3-2020;M;16;0;0;2;73;12
Nordjylland;8-3-2020;M;1;0;0;2;74;12
Sjælland;8-3-2020;M;2;0;0;2;76;12
Syddanmark;8-3-2020;M;8;0;0;2;84;12
Hovedstaden;9-3-2020;F;27;0;3;2;111;15
Midtjylland;9-3-2020;F;10;0;1;2;121;16
Nordjylland;9-3-2020;F;2;0;0;2;123;16
Sjælland;9-3-2020;F;7;0;4;2;130;20
Syddanmark;9-3-2020;F;15;0;1;2;145;21
Hovedstaden;9-3-2020;M;44;0;4;2;189;25
Midtjylland;9-3-2020;M;35;0;2;2;224;27
Nordjylland;9-3-2020;M;6;0;0;2;230;27
Sjælland;9-3-2020;M;30;0;4;2;260;31
Syddanmark;9-3-2020;M;34;0;1;2;294;32
Hovedstaden;10-3-2020;F;46;0;4;2;340;36
Midtjylland;10-3-2020;F;18;0;1;2;358;37
Nordjylland;10-3-2020;F;4;0;1;2;362;38
Sjælland;10-3-2020;F;6;0;2;2;368;40
Syddanmark;10-3-2020;F;8;0;1;2;376;41
Hovedstaden;10-3-2020;M;70;1;3;3;446;44
Midtjylland;10-3-2020;M;54;1;4;4;500;48
Nordjylland;10-3-2020;M;9;0;0;4;509;48
Sjælland;10-3-2020;M;21;0;4;4;530;52
Syddanmark;10-3-2020;M;19;0;1;4;549;53
Hovedstaden;11-3-2020;F;31;0;2;4;580;55
Midtjylland;11-3-2020;F;11;1;1;5;591;56
Nordjylland;11-3-2020;F;3;0;0;5;594;56
Sjælland;11-3-2020;F;12;0;1;5;606;57
Syddanmark;11-3-2020;F;16;0;1;5;622;58
Hovedstaden;11-3-2020;M;57;0;3;5;679;61
Midtjylland;11-3-2020;M;14;1;1;6;693;62
Nordjylland;11-3-2020;M;20;0;0;6;713;62
Sjælland;11-3-2020;M;15;0;5;6;728;67
Syddanmark;11-3-2020;M;27;0;1;6;755;68
Hovedstaden;12-3-2020;F;9;1;3;7;764;71
Midtjylland;12-3-2020;F;2;0;2;7;766;73
Nordjylland;12-3-2020;F;1;0;1;7;767;74
Sjælland;12-3-2020;F;1;1;1;8;768;75
Syddanmark;12-3-2020;F;5;0;2;8;773;77
Hovedstaden;12-3-2020;M;9;0;3;8;782;80
Midtjylland;12-3-2020;M;6;0;4;8;788;84
Sjælland;12-3-2020;M;5;0;3;8;793;87
Syddanmark;12-3-2020;M;3;0;0;8;796;87
Hovedstaden;13-3-2020;F;5;0;1;8;801;88
Midtjylland;13-3-2020;F;2;0;1;8;803;89
Sjælland;13-3-2020;F;1;0;1;8;804;90
Syddanmark;13-3-2020;F;1;1;1;9;805;91
Hovedstaden;13-3-2020;M;16;2;8;11;821;99
Midtjylland;13-3-2020;M;5;1;5;12;826;104
Nordjylland;13-3-2020;M;1;0;1;12;827;105
Sjælland;13-3-2020;M;2;0;1;12;829;106
Hovedstaden;14-3-2020;F;8;1;3;13;837;109
Midtjylland;14-3-2020;F;4;0;1;13;841;110
Nordjylland;14-3-2020;F;2;0;2;13;843;112
Sjælland;14-3-2020;F;3;0;3;13;846;115
Syddanmark;14-3-2020;F;2;0;1;13;848;116
Hovedstaden;14-3-2020;M;8;2;6;15;856;122
Midtjylland;14-3-2020;M;2;0;1;15;858;123
Nordjylland;14-3-2020;M;1;0;1;15;859;124
Sjælland;14-3-2020;M;4;1;1;16;863;125
Syddanmark;14-3-2020;M;3;0;2;16;866;127
Hovedstaden;15-3-2020;F;8;1;4;17;874;131
Midtjylland;15-3-2020;F;3;1;2;18;877;133
Nordjylland;15-3-2020;F;1;0;1;18;878;134
Sjælland;15-3-2020;F;6;0;2;18;884;136
Syddanmark;15-3-2020;F;1;0;1;18;885;137
Hovedstaden;15-3-2020;M;17;2;12;20;902;149
Midtjylland;15-3-2020;M;1;0;0;20;903;149
Nordjylland;15-3-2020;M;2;0;2;20;905;151
Sjælland;15-3-2020;M;4;2;3;22;909;154
Syddanmark;15-3-2020;M;2;0;2;22;911;156
Hovedstaden;16-3-2020;F;27;1;10;23;938;166
Midtjylland;16-3-2020;F;1;0;1;23;939;167
Sjælland;16-3-2020;F;9;1;7;24;948;174
Hovedstaden;16-3-2020;M;23;6;18;30;971;192
Midtjylland;16-3-2020;M;1;1;1;31;972;193
Nordjylland;16-3-2020;M;1;0;1;31;973;194
Sjælland;16-3-2020;M;6;1;5;32;979;199
Syddanmark;16-3-2020;M;6;2;6;34;985;205
Hovedstaden;17-3-2020;F;23;2;10;36;1008;215
Midtjylland;17-3-2020;F;1;0;1;36;1009;216
Nordjylland;17-3-2020;F;2;0;2;36;1011;218
Sjælland;17-3-2020;F;4;1;4;37;1015;222
Syddanmark;17-3-2020;F;3;0;3;37;1018;225
Hovedstaden;17-3-2020;M;26;7;19;44;1044;244
Midtjylland;17-3-2020;M;6;1;5;45;1050;249
Nordjylland;17-3-2020;M;2;1;2;46;1052;251
Sjælland;17-3-2020;M;6;2;6;48;1058;257
Syddanmark;17-3-2020;M;3;1;2;49;1061;259
Hovedstaden;18-3-2020;F;16;2;8;51;1077;267
Midtjylland;18-3-2020;F;8;0;4;51;1085;271
Nordjylland;18-3-2020;F;3;0;2;51;1088;273
Sjælland;18-3-2020;F;6;0;5;51;1094;278
Syddanmark;18-3-2020;F;1;0;1;51;1095;279
Hovedstaden;18-3-2020;M;32;7;16;58;1127;295
Midtjylland;18-3-2020;M;3;1;1;59;1130;296
Nordjylland;18-3-2020;M;3;1;2;60;1133;298
Sjælland;18-3-2020;M;8;3;8;63;1141;306
Syddanmark;18-3-2020;M;3;1;2;64;1144;308
Hovedstaden;19-3-2020;F;30;1;12;65;1174;320
Midtjylland;19-3-2020;F;19;0;3;65;1193;323
Nordjylland;19-3-2020;F;2;0;2;65;1195;325
Sjælland;19-3-2020;F;2;0;1;65;1197;326
Syddanmark;19-3-2020;F;8;0;0;65;1205;326
Hovedstaden;19-3-2020;M;25;5;15;70;1230;341
Midtjylland;19-3-2020;M;5;0;1;70;1235;342
Nordjylland;19-3-2020;M;3;0;3;70;1238;345
Sjælland;19-3-2020;M;4;1;2;71;1242;347
Syddanmark;19-3-2020;M;8;0;6;71;1250;353
Hovedstaden;20-3-2020;F;32;4;17;75;1282;370
Midtjylland;20-3-2020;F;3;0;3;75;1285;373
Nordjylland;20-3-2020;F;2;0;0;75;1287;373
Sjælland;20-3-2020;F;8;1;5;76;1295;378
Syddanmark;20-3-2020;F;6;0;3;76;1301;381
Hovedstaden;20-3-2020;M;23;3;15;79;1324;396
Midtjylland;20-3-2020;M;6;0;2;79;1330;398
Nordjylland;20-3-2020;M;3;1;2;80;1333;400
Sjælland;20-3-2020;M;11;2;10;82;1344;410
Syddanmark;20-3-2020;M;8;0;7;82;1352;417
Hovedstaden;21-3-2020;F;15;2;6;84;1367;423
Midtjylland;21-3-2020;F;2;0;2;84;1369;425
Nordjylland;21-3-2020;F;1;0;1;84;1370;426
Sjælland;21-3-2020;F;5;0;4;84;1375;430
Syddanmark;21-3-2020;F;3;0;1;84;1378;431
Hovedstaden;21-3-2020;M;13;1;7;85;1391;438
Midtjylland;21-3-2020;M;3;0;3;85;1394;441
Sjælland;21-3-2020;M;3;1;2;86;1397;443
Syddanmark;21-3-2020;M;3;0;3;86;1400;446
Hovedstaden;22-3-2020;F;15;2;11;88;1415;457
Midtjylland;22-3-2020;F;3;0;3;88;1418;460
Nordjylland;22-3-2020;F;1;1;1;89;1419;461
Sjælland;22-3-2020;F;5;1;4;90;1424;465
Syddanmark;22-3-2020;F;1;0;1;90;1425;466
Hovedstaden;22-3-2020;M;20;5;10;95;1445;476
Midtjylland;22-3-2020;M;6;0;5;95;1451;481
Nordjylland;22-3-2020;M;1;0;1;95;1452;482
Sjælland;22-3-2020;M;6;2;5;97;1458;487
Syddanmark;22-3-2020;M;4;0;2;97;1462;489
Hovedstaden;23-3-2020;F;38;2;17;99;1500;506
Midtjylland;23-3-2020;F;11;0;9;99;1511;515
Nordjylland;23-3-2020;F;6;1;2;100;1517;517
Sjælland;23-3-2020;F;5;0;2;100;1522;519
Syddanmark;23-3-2020;F;1;0;0;100;1523;519
Hovedstaden;23-3-2020;M;34;3;21;103;1557;540
Midtjylland;23-3-2020;M;10;2;9;105;1567;549
Nordjylland;23-3-2020;M;4;0;4;105;1571;553
Sjælland;23-3-2020;M;12;3;8;108;1583;561
Syddanmark;23-3-2020;M;10;2;10;110;1593;571
Hovedstaden;24-3-2020;F;35;4;12;114;1628;583
Midtjylland;24-3-2020;F;7;0;5;114;1635;588
Nordjylland;24-3-2020;F;1;0;1;114;1636;589
Sjælland;24-3-2020;F;5;0;2;114;1641;591
Syddanmark;24-3-2020;F;11;0;7;114;1652;598
Hovedstaden;24-3-2020;M;39;4;27;118;1691;625
Midtjylland;24-3-2020;M;9;2;8;120;1700;633
Nordjylland;24-3-2020;M;6;0;6;120;1706;639
Sjælland;24-3-2020;M;13;3;9;123;1719;648
Syddanmark;24-3-2020;M;12;0;7;123;1731;655
Hovedstaden;25-3-2020;F;40;5;18;128;1771;673
Midtjylland;25-3-2020;F;8;0;2;128;1779;675
Nordjylland;25-3-2020;F;3;0;2;128;1782;677
Sjælland;25-3-2020;F;15;0;11;128;1797;688
Syddanmark;25-3-2020;F;8;0;3;128;1805;691
Hovedstaden;25-3-2020;M;33;9;23;137;1838;714
Midtjylland;25-3-2020;M;14;1;10;138;1852;724
Nordjylland;25-3-2020;M;5;1;4;139;1857;728
Sjælland;25-3-2020;M;14;4;11;143;1871;739
Syddanmark;25-3-2020;M;11;2;7;145;1882;746
Hovedstaden;26-3-2020;F;53;8;18;153;1935;764
Midtjylland;26-3-2020;F;14;3;6;156;1949;770
Nordjylland;26-3-2020;F;7;0;5;156;1956;775
Sjælland;26-3-2020;F;13;1;9;157;1969;784
Syddanmark;26-3-2020;F;10;0;4;157;1979;788
Hovedstaden;26-3-2020;M;36;5;23;162;2015;811
Midtjylland;26-3-2020;M;13;1;9;163;2028;820
Nordjylland;26-3-2020;M;5;0;3;163;2033;823
Sjælland;26-3-2020;M;6;2;3;165;2039;826
Syddanmark;26-3-2020;M;13;1;5;166;2052;831
Hovedstaden;27-3-2020;F;70;1;18;167;2122;849
Midtjylland;27-3-2020;F;11;0;1;167;2133;850
Nordjylland;27-3-2020;F;7;0;3;167;2140;853
Sjælland;27-3-2020;F;16;2;7;169;2156;860
Syddanmark;27-3-2020;F;14;0;6;169;2170;866
Hovedstaden;27-3-2020;M;51;4;27;173;2221;893
Midtjylland;27-3-2020;M;14;1;10;174;2235;903
Nordjylland;27-3-2020;M;3;0;0;174;2238;903
Sjælland;27-3-2020;M;12;0;8;174;2250;911
Syddanmark;27-3-2020;M;17;2;13;176;2267;924
Hovedstaden;28-3-2020;F;68;3;19;179;2335;943
Midtjylland;28-3-2020;F;12;0;2;179;2347;945
Nordjylland;28-3-2020;F;5;0;1;179;2352;946
Sjælland;28-3-2020;F;13;1;8;180;2365;954
Syddanmark;28-3-2020;F;14;1;10;181;2379;964
Hovedstaden;28-3-2020;M;53;8;25;189;2432;989
Midtjylland;28-3-2020;M;9;3;7;192;2441;996
Nordjylland;28-3-2020;M;6;1;4;193;2447;1000
Sjælland;28-3-2020;M;11;2;10;195;2458;1010
Syddanmark;28-3-2020;M;9;0;7;195;2467;1017
Hovedstaden;29-3-2020;F;51;3;14;198;2518;1031
Midtjylland;29-3-2020;F;3;1;2;199;2521;1033
Nordjylland;29-3-2020;F;4;2;1;201;2525;1034
Sjælland;29-3-2020;F;7;1;6;202;2532;1040
Syddanmark;29-3-2020;F;5;0;5;202;2537;1045
Hovedstaden;29-3-2020;M;32;1;8;203;2569;1053
Midtjylland;29-3-2020;M;5;1;3;204;2574;1056
Nordjylland;29-3-2020;M;5;1;3;205;2579;1059
Sjælland;29-3-2020;M;8;3;8;208;2587;1067
Syddanmark;29-3-2020;M;7;0;4;208;2594;1071
Hovedstaden;30-3-2020;F;97;9;24;217;2691;1095
Midtjylland;30-3-2020;F;25;2;4;219;2716;1099
Nordjylland;30-3-2020;F;8;0;2;219;2724;1101
Sjælland;30-3-2020;F;37;3;6;222;2761;1107
Syddanmark;30-3-2020;F;24;1;7;223;2785;1114
Hovedstaden;30-3-2020;M;64;4;22;227;2849;1136
Midtjylland;30-3-2020;M;16;2;6;229;2865;1142
Nordjylland;30-3-2020;M;3;0;0;229;2868;1142
Sjælland;30-3-2020;M;19;3;9;232;2887;1151
Syddanmark;30-3-2020;M;16;1;4;233;2903;1155
Hovedstaden;31-3-2020;F;74;8;21;241;2977;1176
Midtjylland;31-3-2020;F;39;0;6;241;3016;1182
Nordjylland;31-3-2020;F;15;2;2;243;3031;1184
Sjælland;31-3-2020;F;19;1;6;244;3050;1190
Syddanmark;31-3-2020;F;11;1;2;245;3061;1192
Hovedstaden;31-3-2020;M;50;3;16;248;3111;1208
Midtjylland;31-3-2020;M;11;3;7;251;3122;1215
Nordjylland;31-3-2020;M;3;1;0;252;3125;1215
Sjælland;31-3-2020;M;19;1;3;253;3144;1218
Syddanmark;31-3-2020;M;13;2;4;255;3157;1222
Hovedstaden;1-4-2020;F;89;6;15;261;3246;1237
Midtjylland;1-4-2020;F;40;2;4;263;3286;1241
Nordjylland;1-4-2020;F;13;1;2;264;3299;1243
Sjælland;1-4-2020;F;21;0;7;264;3320;1250
Syddanmark;1-4-2020;F;26;2;5;266;3346;1255
Hovedstaden;1-4-2020;M;51;2;12;268;3397;1267
Midtjylland;1-4-2020;M;14;1;4;269;3411;1271
Nordjylland;1-4-2020;M;3;0;3;269;3414;1274
Sjælland;1-4-2020;M;12;0;2;269;3426;1276
Syddanmark;1-4-2020;M;10;1;4;270;3436;1280
Hovedstaden;2-4-2020;F;120;3;20;273;3556;1300
Midtjylland;2-4-2020;F;36;1;4;274;3592;1304
Nordjylland;2-4-2020;F;18;0;1;274;3610;1305
Sjælland;2-4-2020;F;41;4;6;278;3651;1311
Syddanmark;2-4-2020;F;33;1;6;279;3684;1317
Hovedstaden;2-4-2020;M;66;5;17;284;3750;1334
Midtjylland;2-4-2020;M;14;1;3;285;3764;1337
Nordjylland;2-4-2020;M;8;1;6;286;3772;1343
Sjælland;2-4-2020;M;24;0;7;286;3796;1350
Syddanmark;2-4-2020;M;20;1;2;287;3816;1352
Hovedstaden;3-4-2020;F;169;5;20;292;3985;1372
Midtjylland;3-4-2020;F;46;0;7;292;4031;1379
Nordjylland;3-4-2020;F;19;1;7;293;4050;1386
Sjælland;3-4-2020;F;34;1;2;294;4084;1388
Syddanmark;3-4-2020;F;40;0;3;294;4124;1391
Hovedstaden;3-4-2020;M;89;6;18;300;4213;1409
Midtjylland;3-4-2020;M;25;2;4;302;4238;1413
Nordjylland;3-4-2020;M;9;1;2;303;4247;1415
Sjælland;3-4-2020;M;18;0;4;303;4265;1419
Syddanmark;3-4-2020;M;22;0;7;303;4287;1426
Hovedstaden;4-4-2020;F;127;2;12;305;4414;1438
Midtjylland;4-4-2020;F;19;1;4;306;4433;1442
Nordjylland;4-4-2020;F;2;0;0;306;4435;1442
Sjælland;4-4-2020;F;21;1;5;307;4456;1447
Syddanmark;4-4-2020;F;12;0;1;307;4468;1448
Hovedstaden;4-4-2020;M;86;6;22;313;4554;1470
Midtjylland;4-4-2020;M;11;3;4;316;4565;1474
Nordjylland;4-4-2020;M;6;1;4;317;4571;1478
Sjælland;4-4-2020;M;5;1;3;318;4576;1481
Syddanmark;4-4-2020;M;4;0;1;318;4580;1482
Hovedstaden;5-4-2020;F;64;6;16;324;4644;1498
Midtjylland;5-4-2020;F;18;0;4;324;4662;1502
Nordjylland;5-4-2020;F;3;1;0;325;4665;1502
Sjælland;5-4-2020;F;13;0;2;325;4678;1504
Syddanmark;5-4-2020;F;9;0;1;325;4687;1505
Hovedstaden;5-4-2020;M;38;4;8;329;4725;1513
Midtjylland;5-4-2020;M;2;0;0;329;4727;1513
Nordjylland;5-4-2020;M;2;0;1;329;4729;1514
Sjælland;5-4-2020;M;5;0;1;329;4734;1515
Syddanmark;5-4-2020;M;3;1;2;330;4737;1517
Hovedstaden;6-4-2020;F;128;4;18;334;4865;1535
Midtjylland;6-4-2020;F;44;1;4;335;4909;1539
Nordjylland;6-4-2020;F;10;0;0;335;4919;1539
Sjælland;6-4-2020;F;52;2;9;337;4971;1548
Syddanmark;6-4-2020;F;25;1;1;338;4996;1549
Hovedstaden;6-4-2020;M;93;4;12;342;5089;1561
Midtjylland;6-4-2020;M;27;2;4;344;5116;1565
Nordjylland;6-4-2020;M;11;0;1;344;5127;1566
Sjælland;6-4-2020;M;11;0;2;344;5138;1568
Syddanmark;6-4-2020;M;22;0;5;344;5160;1573
Hovedstaden;7-4-2020;F;105;6;20;350;5265;1593
Midtjylland;7-4-2020;F;41;1;4;351;5306;1597
Nordjylland;7-4-2020;F;3;0;0;351;5309;1597
Sjælland;7-4-2020;F;30;0;3;351;5339;1600
Syddanmark;7-4-2020;F;24;0;4;351;5363;1604
Hovedstaden;7-4-2020;M;77;3;12;354;5440;1616
Midtjylland;7-4-2020;M;25;2;2;356;5465;1618
Nordjylland;7-4-2020;M;6;0;1;356;5471;1619
Sjælland;7-4-2020;M;23;0;4;356;5494;1623
Syddanmark;7-4-2020;M;11;0;0;356;5505;1623
Hovedstaden;8-4-2020;F;110;2;12;358;5615;1635
Midtjylland;8-4-2020;F;29;1;3;359;5644;1638
Nordjylland;8-4-2020;F;6;0;0;359;5650;1638
Sjælland;8-4-2020;F;36;0;6;359;5686;1644
Syddanmark;8-4-2020;F;16;1;0;360;5702;1644
Hovedstaden;8-4-2020;M;56;3;8;363;5758;1652
Midtjylland;8-4-2020;M;21;0;3;363;5779;1655
Nordjylland;8-4-2020;M;1;0;0;363;5780;1655
Sjælland;8-4-2020;M;16;2;5;365;5796;1660
Syddanmark;8-4-2020;M;3;0;0;365;5799;1660
Hovedstaden;9-4-2020;F;52;2;11;367;5851;1671
Midtjylland;9-4-2020;F;12;0;2;367;5863;1673
Nordjylland;9-4-2020;F;4;0;0;367;5867;1673
Sjælland;9-4-2020;F;10;1;5;368;5877;1678
Syddanmark;9-4-2020;F;8;0;2;368;5885;1680
Hovedstaden;9-4-2020;M;22;1;2;369;5907;1682
Midtjylland;9-4-2020;M;11;1;3;370;5918;1685
Nordjylland;9-4-2020;M;4;0;0;370;5922;1685
Sjælland;9-4-2020;M;9;1;3;371;5931;1688
Syddanmark;9-4-2020;M;4;0;0;371;5935;1688
Hovedstaden;10-4-2020;F;54;1;4;372;5989;1692
Midtjylland;10-4-2020;F;12;0;2;372;6001;1694
Nordjylland;10-4-2020;F;4;0;1;372;6005;1695
Sjælland;10-4-2020;F;16;0;1;372;6021;1696
Syddanmark;10-4-2020;F;1;0;0;372;6022;1696
Hovedstaden;10-4-2020;M;34;1;3;373;6056;1699
Midtjylland;10-4-2020;M;5;0;1;373;6061;1700
Nordjylland;10-4-2020;M;3;0;1;373;6064;1701
Sjælland;10-4-2020;M;5;1;5;374;6069;1706
Syddanmark;10-4-2020;M;6;0;1;374;6075;1707
Hovedstaden;11-4-2020;F;34;2;6;376;6109;1713
Midtjylland;11-4-2020;F;23;1;3;377;6132;1716
Nordjylland;11-4-2020;F;2;0;1;377;6134;1717
Sjælland;11-4-2020;F;8;1;4;378;6142;1721
Syddanmark;11-4-2020;F;8;0;2;378;6150;1723
Hovedstaden;11-4-2020;M;40;3;8;381;6190;1731
Midtjylland;11-4-2020;M;11;2;4;383;6201;1735
Sjælland;11-4-2020;M;7;0;2;383;6208;1737
Syddanmark;11-4-2020;M;6;1;3;384;6214;1740
Hovedstaden;12-4-2020;F;64;3;8;387;6278;1748
Midtjylland;12-4-2020;F;13;2;2;389;6291;1750
Nordjylland;12-4-2020;F;5;0;1;389;6296;1751
Sjælland;12-4-2020;F;17;0;4;389;6313;1755
Syddanmark;12-4-2020;F;7;0;1;389;6320;1756
Hovedstaden;12-4-2020;M;31;1;3;390;6351;1759
Midtjylland;12-4-2020;M;8;0;1;390;6359;1760
Nordjylland;12-4-2020;M;3;0;2;390;6362;1762
Sjælland;12-4-2020;M;2;0;0;390;6364;1762
Syddanmark;12-4-2020;M;6;0;1;390;6370;1763
Hovedstaden;13-4-2020;F;57;3;5;393;6427;1768
Midtjylland;13-4-2020;F;20;0;2;393;6447;1770
Nordjylland;13-4-2020;F;4;0;0;393;6451;1770
Sjælland;13-4-2020;F;11;1;3;394;6462;1773
Syddanmark;13-4-2020;F;4;0;1;394;6466;1774
Hovedstaden;13-4-2020;M;39;4;13;398;6505;1787
Midtjylland;13-4-2020;M;11;0;2;398;6516;1789
Nordjylland;13-4-2020;M;1;0;0;398;6517;1789
Sjælland;13-4-2020;M;7;1;5;399;6524;1794
Syddanmark;13-4-2020;M;2;0;1;399;6526;1795
Hovedstaden;14-4-2020;F;88;5;13;404;6614;1808
Midtjylland;14-4-2020;F;30;0;3;404;6644;1811
Nordjylland;14-4-2020;F;2;0;0;404;6646;1811
Sjælland;14-4-2020;F;35;0;4;404;6681;1815
Syddanmark;14-4-2020;F;17;1;2;405;6698;1817
Hovedstaden;14-4-2020;M;46;1;6;406;6744;1823
Midtjylland;14-4-2020;M;16;3;5;409;6760;1828
Sjælland;14-4-2020;M;16;1;3;410;6776;1831
Syddanmark;14-4-2020;M;8;0;0;410;6784;1831
Hovedstaden;15-4-2020;F;79;5;6;415;6863;1837
Midtjylland;15-4-2020;F;17;1;1;416;6880;1838
Nordjylland;15-4-2020;F;4;0;0;416;6884;1838
Sjælland;15-4-2020;F;20;0;5;416;6904;1843
Syddanmark;15-4-2020;F;8;0;1;416;6912;1844
Hovedstaden;15-4-2020;M;40;2;4;418;6952;1848
Midtjylland;15-4-2020;M;10;1;2;419;6962;1850
Nordjylland;15-4-2020;M;4;0;0;419;6966;1850
Sjælland;15-4-2020;M;10;2;5;421;6976;1855
Syddanmark;15-4-2020;M;6;0;1;421;6982;1856
Hovedstaden;16-4-2020;F;53;1;7;422;7035;1863
Midtjylland;16-4-2020;F;26;0;2;422;7061;1865
Nordjylland;16-4-2020;F;4;0;0;422;7065;1865
Sjælland;16-4-2020;F;16;2;5;424;7081;1870
Syddanmark;16-4-2020;F;8;0;1;424;7089;1871
Hovedstaden;16-4-2020;M;37;2;8;426;7126;1879
Midtjylland;16-4-2020;M;16;1;2;427;7142;1881
Nordjylland;16-4-2020;M;1;0;0;427;7143;1881
Sjælland;16-4-2020;M;8;0;0;427;7151;1881
Syddanmark;16-4-2020;M;9;0;1;427;7160;1882
Hovedstaden;17-4-2020;F;51;1;7;428;7211;1889
Midtjylland;17-4-2020;F;18;1;1;429;7229;1890
Nordjylland;17-4-2020;F;2;0;0;429;7231;1890
Sjælland;17-4-2020;F;29;2;7;431;7260;1897
Syddanmark;17-4-2020;F;8;0;2;431;7268;1899
Hovedstaden;17-4-2020;M;37;3;7;434;7305;1906
Midtjylland;17-4-2020;M;5;0;0;434;7310;1906
Nordjylland;17-4-2020;M;2;1;0;435;7312;1906
Sjælland;17-4-2020;M;14;1;4;436;7326;1910
Syddanmark;17-4-2020;M;2;0;0;436;7328;1910
Hovedstaden;18-4-2020;F;37;1;7;437;7365;1917
Midtjylland;18-4-2020;F;13;0;3;437;7378;1920
Nordjylland;18-4-2020;F;2;0;1;437;7380;1921
Sjælland;18-4-2020;F;15;1;2;438;7395;1923
Hovedstaden;18-4-2020;M;23;3;7;441;7418;1930
Midtjylland;18-4-2020;M;4;0;0;441;7422;1930
Sjælland;18-4-2020;M;7;2;4;443;7429;1934
Syddanmark;18-4-2020;M;3;0;0;443;7432;1934
Hovedstaden;19-4-2020;F;37;1;7;444;7469;1941
Midtjylland;19-4-2020;F;8;0;2;444;7477;1943
Sjælland;19-4-2020;F;19;0;4;444;7496;1947
Syddanmark;19-4-2020;F;3;0;0;444;7499;1947
Hovedstaden;19-4-2020;M;24;1;9;445;7523;1956
Midtjylland;19-4-2020;M;7;0;1;445;7530;1957
Nordjylland;19-4-2020;M;2;0;0;445;7532;1957
Sjælland;19-4-2020;M;10;3;7;448;7542;1964
Syddanmark;19-4-2020;M;1;0;0;448;7543;1964
Hovedstaden;20-4-2020;F;89;5;8;453;7632;1972
Midtjylland;20-4-2020;F;15;0;1;453;7647;1973
Nordjylland;20-4-2020;F;5;0;0;453;7652;1973
Sjælland;20-4-2020;F;26;1;7;454;7678;1980
Syddanmark;20-4-2020;F;3;0;0;454;7681;1980
Hovedstaden;20-4-2020;M;50;3;11;457;7731;1991
Midtjylland;20-4-2020;M;11;1;2;458;7742;1993
Nordjylland;20-4-2020;M;1;0;0;458;7743;1993
Sjælland;20-4-2020;M;10;1;5;459;7753;1998
Syddanmark;20-4-2020;M;3;2;2;461;7756;2000
Hovedstaden;21-4-2020;F;65;3;10;464;7821;2010
Midtjylland;21-4-2020;F;10;0;0;464;7831;2010
Nordjylland;21-4-2020;F;4;1;0;465;7835;2010
Sjælland;21-4-2020;F;31;1;7;466;7866;2017
Syddanmark;21-4-2020;F;7;0;1;466;7873;2018
Hovedstaden;21-4-2020;M;54;5;6;471;7927;2024
Midtjylland;21-4-2020;M;8;1;2;472;7935;2026
Nordjylland;21-4-2020;M;1;0;0;472;7936;2026
Sjælland;21-4-2020;M;15;1;7;473;7951;2033
Syddanmark;21-4-2020;M;5;0;0;473;7956;2033
Hovedstaden;22-4-2020;F;87;3;9;476;8043;2042
Midtjylland;22-4-2020;F;17;0;2;476;8060;2044
Nordjylland;22-4-2020;F;5;0;0;476;8065;2044
Sjælland;22-4-2020;F;22;2;4;478;8087;2048
Syddanmark;22-4-2020;F;1;0;0;478;8088;2048
Hovedstaden;22-4-2020;M;66;6;12;484;8154;2060
Midtjylland;22-4-2020;M;15;1;4;485;8169;2064
Sjælland;22-4-2020;M;12;1;3;486;8181;2067
Syddanmark;22-4-2020;M;1;0;0;486;8182;2067
Hovedstaden;23-4-2020;F;89;4;10;490;8271;2077
Midtjylland;23-4-2020;F;22;1;1;491;8293;2078
Nordjylland;23-4-2020;F;2;0;0;491;8295;2078
Sjælland;23-4-2020;F;30;1;6;492;8325;2084
Syddanmark;23-4-2020;F;4;0;0;492;8329;2084
Hovedstaden;23-4-2020;M;49;1;7;493;8378;2091
Midtjylland;23-4-2020;M;10;0;1;493;8388;2092
Nordjylland;23-4-2020;M;1;0;0;493;8389;2092
Sjælland;23-4-2020;M;20;0;7;493;8409;2099
