date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-12-01,6,1,0.0,9.9,2,26,12:49 PM,11:03 PM,08:23 AM,06:11 PM,-6,-3,3,-3,43,7,54,0.0,1017,6,10,309,29,Arkansas
2019-12-02,8,-2,0.0,9.9,2,33,01:26 PM,No moonset,08:23 AM,06:11 PM,-6,-1,2,-1,22,20,54,0.0,1024,8,10,229,13,Arkansas
2019-12-03,14,2,0.0,9.9,3,41,01:58 PM,12:01 AM,08:24 AM,06:11 PM,-0,4,6,4,23,5,62,0.0,1015,14,10,265,13,Arkansas
2019-12-04,14,4,0.0,9.9,2,48,02:27 PM,12:59 AM,08:25 AM,06:11 PM,1,6,8,6,17,21,63,0.0,1017,14,10,273,10,Arkansas
2019-12-05,15,8,0.0,9.9,3,55,02:54 PM,01:55 AM,08:26 AM,06:11 PM,5,9,11,9,25,60,65,0.1,1012,15,9,126,15,Arkansas
2019-12-06,7,3,0.0,8.3,2,62,03:21 PM,02:51 AM,08:27 AM,06:11 PM,2,2,6,2,29,32,75,0.0,1024,7,10,23,21,Arkansas
2019-12-07,11,1,0.0,9.8,3,70,03:47 PM,03:48 AM,08:28 AM,06:11 PM,0,3,5,3,20,3,73,0.0,1024,11,10,157,12,Arkansas
2019-12-08,14,6,0.0,8.3,2,77,04:15 PM,04:45 AM,08:29 AM,06:11 PM,5,6,9,6,25,41,79,0.0,1009,14,10,187,16,Arkansas
2019-12-09,7,-1,0.0,9.8,1,84,04:46 PM,05:45 AM,08:30 AM,06:11 PM,-2,1,4,1,29,35,66,0.0,1011,7,10,242,20,Arkansas
2019-12-10,7,-3,0.0,9.8,1,92,05:22 PM,06:46 AM,08:30 AM,06:11 PM,-10,-1,1,-1,15,21,46,0.0,1027,7,10,202,9,Arkansas
2019-12-11,9,-2,0.0,9.8,1,99,06:03 PM,07:49 AM,08:31 AM,06:11 PM,-4,-1,3,-1,34,20,59,0.0,1029,9,10,191,20,Arkansas
2019-12-12,11,5,0.0,9.8,3,100,06:51 PM,08:52 AM,08:32 AM,06:11 PM,0,3,7,3,37,40,62,0.0,1020,11,10,192,24,Arkansas
2019-12-13,14,4,0.0,9.8,3,87,07:47 PM,09:53 AM,08:33 AM,06:12 PM,4,6,8,6,21,18,74,0.0,1012,14,10,211,13,Arkansas
2019-12-14,6,0,0.0,9.8,1,79,08:49 PM,10:50 AM,08:33 AM,06:12 PM,-1,1,4,1,26,35,68,0.0,1014,6,10,113,16,Arkansas
2019-12-15,-0,-3,0.1,4.9,1,72,09:56 PM,11:41 AM,08:34 AM,06:12 PM,-4,-7,-1,-7,28,77,78,0.1,1015,-0,9,58,21,Arkansas
2019-12-16,-1,-7,0.7,6.6,1,65,11:04 PM,12:25 PM,08:35 AM,06:12 PM,-6,-10,-4,-10,26,65,87,0.9,1022,-1,8,291,20,Arkansas
2019-12-17,3,-7,0.0,9.8,2,58,No moonrise,01:04 PM,08:35 AM,06:13 PM,-6,-7,-3,-7,18,4,81,0.0,1029,3,10,320,11,Arkansas
2019-12-18,8,-4,0.0,9.8,2,50,12:13 AM,01:39 PM,08:36 AM,06:13 PM,-6,-3,0,-3,21,0,65,0.0,1028,8,10,213,11,Arkansas
2019-12-19,11,-1,0.0,9.8,2,43,01:22 AM,02:11 PM,08:36 AM,06:14 PM,-6,-0,4,-0,36,11,51,0.0,1024,11,10,187,20,Arkansas
2019-12-20,11,3,0.0,9.8,2,36,02:29 AM,02:43 PM,08:37 AM,06:14 PM,-1,2,6,2,33,23,64,0.0,1025,11,10,179,19,Arkansas
2019-12-21,11,2,0.0,9.8,3,28,03:37 AM,03:16 PM,08:38 AM,06:14 PM,2,3,5,3,19,14,85,0.0,1027,11,10,193,11,Arkansas
2019-12-22,11,1,0.0,9.8,3,21,04:45 AM,03:50 PM,08:38 AM,06:15 PM,1,2,5,2,27,2,77,0.0,1025,11,10,192,15,Arkansas
2019-12-23,14,2,0.0,9.8,2,14,05:53 AM,04:28 PM,08:39 AM,06:15 PM,1,4,7,4,34,22,70,0.0,1019,14,10,181,19,Arkansas
2019-12-24,17,6,0.0,9.8,3,7,07:00 AM,05:12 PM,08:39 AM,06:16 PM,2,7,10,7,44,29,61,0.0,1013,17,10,184,24,Arkansas
2019-12-25,18,9,0.0,9.8,4,0,08:05 AM,06:00 PM,08:39 AM,06:17 PM,4,10,12,10,44,9,59,0.0,1008,18,10,185,27,Arkansas
2019-12-26,10,3,0.0,9.8,3,0,09:04 AM,06:53 PM,08:40 AM,06:17 PM,0,6,8,6,21,11,59,0.0,1017,10,10,197,11,Arkansas
2019-12-27,7,2,0.0,6.6,1,0,09:57 AM,07:51 PM,08:40 AM,06:18 PM,-1,1,4,1,27,74,67,0.4,1021,7,9,83,17,Arkansas
2019-12-28,15,9,0.0,6.6,3,8,10:43 AM,08:49 PM,08:40 AM,06:19 PM,12,11,12,11,45,78,94,13.7,1005,15,8,174,28,Arkansas
2019-12-29,5,1,0.0,8.2,1,15,11:23 AM,09:49 PM,08:41 AM,06:19 PM,-1,-1,4,-1,32,39,75,0.0,1008,5,10,258,22,Arkansas
2019-12-30,6,0,0.0,9.8,2,22,11:58 AM,10:46 PM,08:41 AM,06:20 PM,-5,-3,2,-3,37,6,60,0.0,1017,6,10,293,25,Arkansas
2019-12-31,9,-2,0.0,9.8,2,26,12:28 PM,11:44 PM,08:41 AM,06:21 PM,-6,-2,2,-2,25,6,54,0.0,1020,9,10,275,15,Arkansas
2020-01-01,11,-0,0.0,9.8,3,37,12:56 PM,No moonset,08:41 AM,06:22 PM,-2,0,4,0,37,13,65,0.0,1010,11,10,194,23,Arkansas
2020-01-02,13,6,0.0,4.9,3,44,01:22 PM,12:40 AM,08:42 AM,06:22 PM,5,7,9,7,29,53,80,0.1,998,13,10,199,17,Arkansas
2020-01-03,7,3,0.0,6.6,2,51,01:48 PM,01:36 AM,08:42 AM,06:23 PM,1,0,5,0,39,81,72,1.4,1012,7,10,286,30,Arkansas
2020-01-04,7,-0,0.0,9.8,2,59,02:15 PM,02:32 AM,08:42 AM,06:24 PM,-6,0,3,0,22,16,52,0.0,1025,7,10,278,13,Arkansas
2020-01-05,10,2,0.0,9.8,3,66,02:44 PM,03:30 AM,08:42 AM,06:25 PM,-3,3,6,3,27,11,59,0.0,1025,10,10,125,16,Arkansas
2020-01-06,9,0,0.0,9.8,2,73,03:17 PM,04:29 AM,08:42 AM,06:26 PM,-4,2,4,2,19,8,57,0.0,1023,9,10,167,11,Arkansas
2020-01-07,10,0,0.0,9.9,3,80,03:55 PM,05:31 AM,08:42 AM,06:27 PM,-5,1,5,1,27,1,51,0.0,1026,10,10,252,15,Arkansas
2020-01-08,12,2,0.0,8.3,2,88,04:39 PM,06:34 AM,08:42 AM,06:27 PM,-3,3,7,3,39,38,50,0.0,1019,12,10,173,24,Arkansas
2020-01-09,16,10,0.0,8.3,3,95,05:32 PM,07:37 AM,08:42 AM,06:28 PM,7,11,13,11,41,67,68,0.1,1009,16,10,200,27,Arkansas
2020-01-10,14,1,0.0,4.9,3,100,06:33 PM,08:37 AM,08:42 AM,06:29 PM,8,9,11,9,31,100,91,5.6,1010,14,8,96,21,Arkansas
2020-01-11,-3,-7,0.8,6.6,1,100,07:40 PM,09:32 AM,08:41 AM,06:30 PM,-7,-12,-5,-12,36,74,85,5.6,1018,-3,7,228,28,Arkansas
2020-01-12,2,-9,0.0,6.6,1,83,08:51 PM,10:20 AM,08:41 AM,06:31 PM,-5,-9,-4,-9,21,56,95,0.0,1019,2,9,141,12,Arkansas
2020-01-13,12,0,0.0,9.9,2,76,10:02 PM,11:03 AM,08:41 AM,06:32 PM,2,2,6,2,38,32,80,0.0,1017,12,10,163,23,Arkansas
2020-01-14,11,4,0.0,9.9,3,69,11:13 PM,11:40 AM,08:41 AM,06:33 PM,2,4,7,4,28,7,73,0.0,1018,11,10,140,16,Arkansas
2020-01-15,10,2,0.0,8.3,2,61,No moonrise,12:14 PM,08:41 AM,06:34 PM,1,4,8,4,37,42,66,0.0,1020,10,10,142,24,Arkansas
2020-01-16,2,-4,0.0,6.6,1,54,12:22 AM,12:46 PM,08:40 AM,06:35 PM,-6,-5,0,-5,27,63,63,3.8,1035,2,9,63,20,Arkansas
2020-01-17,5,-2,0.0,5.0,1,47,01:30 AM,01:19 PM,08:40 AM,06:36 PM,3,-2,3,-2,43,99,93,18.3,1023,5,8,151,28,Arkansas
2020-01-18,6,1,0.0,10.0,2,40,02:37 AM,01:52 PM,08:40 AM,06:37 PM,-2,0,4,0,37,6,63,0.0,1024,6,10,290,23,Arkansas
2020-01-19,8,0,0.0,10.0,2,32,03:44 AM,02:28 PM,08:39 AM,06:38 PM,-5,1,3,1,13,10,57,0.0,1033,8,10,197,8,Arkansas
2020-01-20,5,-4,0.0,10.0,2,25,04:50 AM,03:08 PM,08:39 AM,06:40 PM,-9,-4,-0,-4,18,5,53,0.0,1035,5,10,107,12,Arkansas
2020-01-21,5,-6,0.0,10.0,1,18,05:54 AM,03:54 PM,08:38 AM,06:41 PM,-7,-6,-1,-6,28,31,64,0.0,1030,5,10,122,20,Arkansas
2020-01-22,5,2,0.0,5.0,1,11,06:54 AM,04:44 PM,08:38 AM,06:42 PM,3,-2,4,-2,43,100,95,11.1,1017,5,6,172,29,Arkansas
2020-01-23,10,4,0.0,10.1,2,3,07:49 AM,05:39 PM,08:37 AM,06:43 PM,2,2,6,2,27,49,77,0.2,1015,10,8,280,19,Arkansas
2020-01-24,8,0,0.0,10.1,2,0,08:38 AM,06:37 PM,08:37 AM,06:44 PM,-2,-0,3,-0,24,2,71,0.0,1019,8,10,293,14,Arkansas
2020-01-25,8,-0,0.0,10.0,1,0,09:20 AM,07:37 PM,08:36 AM,06:45 PM,-1,1,3,1,16,46,76,0.1,1019,8,9,121,10,Arkansas
2020-01-26,12,4,0.0,10.1,3,4,09:56 AM,08:35 PM,08:35 AM,06:46 PM,3,6,7,6,11,20,77,0.0,1015,12,10,238,6,Arkansas
2020-01-27,12,5,0.0,10.1,3,11,10:28 AM,09:33 PM,08:35 AM,06:47 PM,3,7,8,7,14,25,74,0.0,1016,12,10,115,9,Arkansas
2020-01-28,3,1,3.6,5.1,1,18,10:57 AM,10:29 PM,08:34 AM,06:48 PM,0,-3,2,-3,31,93,85,9.7,1018,3,7,32,23,Arkansas
2020-01-29,6,-2,0.0,10.2,1,26,11:24 AM,11:26 PM,08:33 AM,06:49 PM,-0,-2,2,-2,19,43,85,0.1,1021,6,10,66,13,Arkansas
2020-01-30,4,1,0.0,5.1,1,33,11:49 AM,No moonset,08:32 AM,06:50 PM,-0,0,2,0,8,86,85,0.0,1023,4,10,161,6,Arkansas
2020-01-31,7,-0,0.0,10.2,2,37,12:15 PM,12:21 AM,08:32 AM,06:52 PM,-1,-1,3,-1,24,14,76,0.0,1021,7,10,271,15,Arkansas
2020-02-01,13,0,0.0,10.2,3,49,12:43 PM,01:18 AM,08:31 AM,06:53 PM,-2,3,6,3,19,5,60,0.0,1020,13,10,278,11,Arkansas
2020-02-02,18,6,0.0,10.2,4,57,01:13 PM,02:15 AM,08:30 AM,06:54 PM,2,9,11,9,34,12,56,0.0,1012,18,10,215,18,Arkansas
2020-02-03,17,12,0.0,10.3,4,64,01:48 PM,03:15 AM,08:29 AM,06:55 PM,3,13,15,13,46,30,53,0.0,1000,17,10,210,29,Arkansas
2020-02-04,2,-9,0.0,5.1,1,72,02:28 PM,04:16 AM,08:28 AM,06:56 PM,-3,-6,-1,-6,35,90,79,0.3,1014,2,8,13,28,Arkansas
2020-02-05,-1,-4,0.0,5.2,1,79,03:16 PM,05:18 AM,08:27 AM,06:57 PM,-7,-9,-2,-9,30,91,74,0.1,1016,-1,9,250,24,Arkansas
2020-02-06,5,-5,0.0,10.3,2,87,04:12 PM,06:19 AM,08:26 AM,06:58 PM,-7,-4,-1,-4,16,11,65,0.0,1008,5,10,296,10,Arkansas
2020-02-07,8,-1,0.0,10.3,1,95,05:17 PM,07:17 AM,08:26 AM,06:59 PM,-5,-1,2,-1,19,36,60,0.0,1009,8,10,243,11,Arkansas
2020-02-08,10,-0,0.0,10.8,3,100,06:27 PM,08:09 AM,08:25 AM,07:00 PM,-2,2,4,2,22,16,66,0.0,1019,10,10,158,14,Arkansas
2020-02-09,12,4,0.0,8.5,2,100,07:41 PM,08:55 AM,08:24 AM,07:01 PM,4,5,8,5,39,47,75,0.5,1013,12,10,148,26,Arkansas
2020-02-10,6,0,0.0,8.5,1,83,08:54 PM,09:36 AM,08:23 AM,07:03 PM,-5,-1,3,-1,19,62,59,0.0,1023,6,10,40,15,Arkansas
2020-02-11,6,1,0.0,10.8,2,75,10:07 PM,10:12 AM,08:21 AM,07:04 PM,-4,0,3,0,20,45,60,0.3,1024,6,9,83,14,Arkansas
2020-02-12,3,-1,0.0,5.4,1,68,11:18 PM,10:46 AM,08:20 AM,07:05 PM,1,1,3,1,16,88,86,5.5,1013,3,7,171,11,Arkansas
2020-02-13,-2,-7,0.0,10.9,2,60,No moonrise,11:19 AM,08:19 AM,07:06 PM,-15,-11,-5,-11,28,21,44,0.1,1029,-2,10,161,22,Arkansas
2020-02-14,3,-7,0.0,10.9,2,53,12:27 AM,11:53 AM,08:18 AM,07:07 PM,-12,-7,-2,-7,25,11,47,0.0,1031,3,10,136,17,Arkansas
2020-02-15,13,1,0.0,10.1,2,45,01:37 AM,12:28 PM,08:17 AM,07:08 PM,2,3,8,3,40,27,76,0.0,1019,13,10,175,24,Arkansas
2020-02-16,11,2,0.0,7.0,2,38,02:43 AM,01:08 PM,08:16 AM,07:09 PM,4,4,7,4,22,52,85,0.0,1016,11,10,114,13,Arkansas
2020-02-17,12,7,0.0,8.5,3,30,03:49 AM,01:52 PM,08:15 AM,07:10 PM,7,7,9,7,24,56,88,0.2,1009,12,7,234,14,Arkansas
2020-02-18,8,3,0.0,10.1,2,22,04:49 AM,02:40 PM,08:14 AM,07:11 PM,-1,1,5,1,30,33,65,0.0,1024,8,10,20,22,Arkansas
2020-02-19,7,-0,0.0,10.1,2,15,05:46 AM,03:33 PM,08:12 AM,07:12 PM,-4,-1,3,-1,22,55,64,0.3,1032,7,10,75,16,Arkansas
2020-02-20,3,-1,0.6,10.1,1,7,06:35 AM,04:29 PM,08:11 AM,07:13 PM,-3,-4,1,-4,27,63,79,1.0,1038,3,8,40,21,Arkansas
2020-02-21,7,-3,0.0,11.0,2,0,07:18 AM,05:28 PM,08:10 AM,07:14 PM,-7,-2,1,-2,20,2,56,0.0,1037,7,10,183,13,Arkansas
2020-02-22,11,1,0.0,11.1,3,0,07:56 AM,06:26 PM,08:09 AM,07:15 PM,0,2,5,2,34,11,68,0.0,1025,11,10,189,21,Arkansas
2020-02-23,10,4,0.0,5.5,2,0,08:29 AM,07:25 PM,08:07 AM,07:16 PM,7,5,8,5,31,90,91,12.4,1012,10,8,168,20,Arkansas
2020-02-24,10,8,0.0,8.6,2,0,08:58 AM,08:21 PM,08:06 AM,07:17 PM,6,6,9,6,36,71,85,11.6,1006,10,9,183,24,Arkansas
2020-02-25,8,3,0.0,10.1,2,8,09:26 AM,09:18 PM,08:05 AM,07:18 PM,-1,2,5,2,32,44,69,0.9,1015,8,8,313,22,Arkansas
2020-02-26,4,-3,0.0,11.2,2,15,09:52 AM,10:13 PM,08:04 AM,07:19 PM,-9,-6,-0,-6,33,18,54,0.3,1027,4,10,322,26,Arkansas
2020-02-27,10,-1,0.0,8.6,1,23,10:17 AM,11:10 PM,08:02 AM,07:20 PM,-6,-1,3,-1,26,36,52,0.0,1023,10,10,199,15,Arkansas
2020-02-28,11,-0,0.0,10.1,3,30,10:44 AM,No moonset,08:01 AM,07:21 PM,-2,2,4,2,14,27,65,0.1,1028,11,10,180,9,Arkansas
2020-02-29,18,4,0.0,10.1,4,38,11:13 AM,12:06 AM,08:00 AM,07:22 PM,1,9,10,9,31,30,53,0.0,1019,18,10,202,19,Arkansas
2020-03-01,19,11,0.0,11.6,3,44,11:45 AM,01:04 AM,07:58 AM,07:23 PM,5,12,14,12,32,26,59,0.0,1005,19,10,230,19,Arkansas
2020-03-02,8,5,0.0,5.8,2,51,12:21 PM,02:03 AM,07:57 AM,07:24 PM,2,4,7,4,28,48,69,0.0,1010,8,10,26,20,Arkansas
2020-03-03,15,5,0.0,11.6,4,58,01:04 PM,03:03 AM,07:56 AM,07:25 PM,0,9,9,9,10,5,54,0.0,1012,15,10,186,6,Arkansas
2020-03-04,15,7,0.0,5.9,3,65,01:55 PM,04:03 AM,07:54 AM,07:26 PM,-0,9,11,9,20,64,47,0.0,1017,15,10,123,12,Arkansas
2020-03-05,15,4,0.0,11.6,4,73,02:54 PM,05:01 AM,07:53 AM,07:27 PM,-1,7,9,7,26,1,51,0.0,1024,15,10,213,17,Arkansas
2020-03-06,14,3,0.0,11.6,3,80,04:01 PM,05:55 AM,07:52 AM,07:28 PM,-2,6,8,6,20,1,48,0.0,1032,14,10,158,12,Arkansas
2020-03-07,16,6,0.0,11.6,3,87,05:13 PM,06:43 AM,07:50 AM,07:29 PM,1,7,10,7,43,50,53,0.0,1026,16,10,183,26,Arkansas
2020-03-08,14,9,0.0,8.8,3,95,06:26 PM,07:26 AM,07:49 AM,07:30 PM,7,8,12,8,50,52,75,1.8,1019,14,10,187,36,Arkansas
2020-03-09,19,13,0.0,11.6,4,100,07:41 PM,08:05 AM,07:47 AM,07:31 PM,12,15,16,15,40,47,78,8.8,1013,19,9,221,28,Arkansas
2020-03-10,15,4,0.0,11.6,4,100,08:55 PM,08:40 AM,07:46 AM,07:32 PM,4,8,10,8,20,11,71,0.0,1023,15,10,115,13,Arkansas
2020-03-11,21,13,0.0,11.6,4,84,10:08 PM,09:15 AM,07:44 AM,07:33 PM,10,15,16,15,24,36,70,1.6,1012,21,10,157,14,Arkansas
2020-03-12,19,12,0.0,11.6,4,76,11:21 PM,09:49 AM,07:43 AM,07:34 PM,9,14,15,14,29,37,69,1.6,1009,19,10,152,18,Arkansas
2020-03-13,8,7,0.0,6.0,2,69,No moonrise,10:25 AM,07:41 AM,07:34 PM,1,5,8,5,31,66,62,2.0,1023,8,6,58,22,Arkansas
2020-03-14,9,6,0.0,6.0,2,62,12:31 AM,11:05 AM,07:40 AM,07:35 PM,5,3,7,3,31,97,90,17.1,1022,9,8,73,23,Arkansas
2020-03-15,8,5,0.0,6.0,2,55,01:40 AM,11:48 AM,07:39 AM,07:36 PM,4,3,6,3,25,92,87,0.0,1029,8,10,64,20,Arkansas
2020-03-16,12,6,0.0,6.0,3,47,02:44 AM,12:36 PM,07:37 AM,07:37 PM,9,8,9,8,18,100,95,3.4,1022,12,8,126,12,Arkansas
2020-03-17,14,8,0.0,6.0,3,40,03:43 AM,01:29 PM,07:36 AM,07:38 PM,13,11,13,11,22,100,96,7.2,1019,14,10,113,15,Arkansas
2020-03-18,24,15,0.0,11.6,5,33,04:34 AM,02:24 PM,07:34 AM,07:39 PM,15,19,20,19,33,51,79,12.2,1010,24,9,182,22,Arkansas
2020-03-19,21,16,0.0,10.2,4,25,05:19 AM,03:22 PM,07:33 AM,07:40 PM,12,18,19,18,48,36,69,1.7,1006,21,10,201,31,Arkansas
2020-03-20,7,2,0.0,11.6,1,18,05:58 AM,04:20 PM,07:31 AM,07:41 PM,-3,1,6,1,39,22,56,0.0,1026,7,10,147,30,Arkansas
2020-03-21,10,-1,0.0,11.6,3,11,06:31 AM,05:19 PM,07:30 AM,07:42 PM,-2,2,5,2,17,22,63,0.0,1031,10,10,94,12,Arkansas
2020-03-22,14,7,0.0,6.1,3,4,07:02 AM,06:15 PM,07:28 AM,07:43 PM,9,9,11,9,20,90,91,6.6,1018,14,9,126,14,Arkansas
2020-03-23,17,9,0.0,7.5,3,0,07:29 AM,07:12 PM,07:27 AM,07:43 PM,13,12,14,12,27,83,94,3.3,1013,17,10,107,17,Arkansas
2020-03-24,20,14,0.0,11.6,4,0,07:55 AM,08:08 PM,07:25 AM,07:44 PM,14,17,17,17,31,40,82,2.1,1006,20,10,244,21,Arkansas
2020-03-25,22,9,0.0,11.6,5,3,08:21 AM,09:04 PM,07:24 AM,07:45 PM,12,14,15,14,28,22,80,0.0,1009,22,10,167,18,Arkansas
2020-03-26,25,13,0.0,11.6,5,11,08:47 AM,10:00 PM,07:22 AM,07:46 PM,11,18,19,18,26,9,63,0.1,1003,25,10,194,14,Arkansas
2020-03-27,26,15,0.0,11.6,5,18,09:15 AM,10:58 PM,07:21 AM,07:47 PM,14,20,21,20,31,32,74,6.3,1002,26,10,158,18,Arkansas
2020-03-28,16,12,0.0,11.6,4,25,09:45 AM,11:56 PM,07:19 AM,07:48 PM,6,14,15,14,52,17,56,0.3,1002,16,10,237,33,Arkansas
2020-03-29,19,7,0.0,11.6,4,32,10:19 AM,No moonset,07:18 AM,07:49 PM,3,11,12,11,26,5,52,0.0,1016,19,10,261,15,Arkansas
2020-03-30,19,9,0.0,8.9,4,40,10:59 AM,12:55 AM,07:16 AM,07:50 PM,6,13,15,13,31,42,64,1.3,1016,19,10,137,20,Arkansas
2020-03-31,15,9,0.0,6.2,3,44,11:46 AM,01:54 AM,07:15 AM,07:51 PM,9,11,12,11,17,87,82,2.6,1015,15,9,89,12,Arkansas
2020-04-01,19,9,0.0,8.9,3,56,12:40 PM,02:51 AM,07:13 AM,07:51 PM,9,12,14,12,36,27,75,0.0,1012,19,10,173,24,Arkansas
2020-04-02,18,13,0.0,6.2,4,64,01:42 PM,03:45 AM,07:12 AM,07:52 PM,13,14,15,14,51,80,84,7.1,1007,18,10,171,34,Arkansas
2020-04-03,8,-2,0.0,6.2,1,71,02:49 PM,04:34 AM,07:10 AM,07:53 PM,5,4,7,4,33,88,83,1.9,1016,8,9,191,25,Arkansas
2020-04-04,13,1,0.0,11.6,3,79,04:00 PM,05:18 AM,07:09 AM,07:54 PM,2,4,7,4,22,24,74,0.0,1021,13,10,43,16,Arkansas
2020-04-05,18,6,0.0,7.6,3,87,05:13 PM,05:57 AM,07:07 AM,07:55 PM,9,11,12,11,21,56,84,0.2,1016,18,10,145,14,Arkansas
2020-04-06,20,14,0.0,6.3,4,94,06:27 PM,06:33 AM,07:06 AM,07:56 PM,14,16,17,16,43,74,86,0.2,1011,20,10,188,29,Arkansas
2020-04-07,25,16,0.0,11.6,5,100,07:41 PM,07:08 AM,07:04 AM,07:57 PM,14,20,20,20,27,30,73,0.0,1006,25,10,203,18,Arkansas
2020-04-08,26,15,0.0,11.6,6,100,08:55 PM,07:42 AM,07:03 AM,07:57 PM,11,20,21,20,25,0,61,0.0,1007,26,10,208,15,Arkansas
2020-04-09,15,8,0.0,11.6,4,83,10:09 PM,08:18 AM,07:01 AM,07:58 PM,2,11,12,11,20,16,53,0.0,1018,15,10,67,14,Arkansas
2020-04-10,13,3,0.0,10.3,2,76,11:22 PM,08:56 AM,07:00 AM,07:59 PM,-1,5,8,5,24,36,53,0.0,1019,13,10,112,16,Arkansas
2020-04-11,19,10,0.0,6.7,4,68,No moonrise,09:39 AM,06:59 AM,08:00 PM,12,13,15,13,44,76,83,3.7,1005,19,9,181,29,Arkansas
2020-04-12,22,9,0.0,7.9,4,61,12:30 AM,10:27 AM,06:57 AM,08:01 PM,11,15,17,15,41,78,81,0.9,999,22,10,241,31,Arkansas
2020-04-13,9,-1,0.0,11.6,3,53,01:34 AM,11:20 AM,06:56 AM,08:02 PM,-6,1,5,1,29,25,48,0.0,1023,9,10,245,22,Arkansas
2020-04-14,7,2,1.7,8.0,1,46,02:30 AM,12:16 PM,06:54 AM,08:03 PM,-0,2,4,2,14,77,76,2.7,1026,7,8,141,10,Arkansas
2020-04-15,15,-0,0.0,11.6,3,38,03:18 AM,01:15 PM,06:53 AM,08:04 PM,2,5,8,5,29,8,70,0.0,1019,15,10,214,18,Arkansas
2020-04-16,17,7,0.0,9.2,3,30,03:59 AM,02:13 PM,06:52 AM,08:04 PM,7,10,12,10,39,55,73,2.9,1014,17,10,186,26,Arkansas
2020-04-17,11,3,0.0,10.4,2,23,04:35 AM,03:12 PM,06:50 AM,08:05 PM,2,3,7,3,31,49,75,1.6,1020,11,10,109,24,Arkansas
2020-04-18,16,2,0.0,9.2,3,15,05:06 AM,04:09 PM,06:49 AM,08:06 PM,4,7,9,7,25,38,75,0.7,1015,16,10,162,16,Arkansas
2020-04-19,19,11,0.0,9.2,4,8,05:34 AM,05:06 PM,06:48 AM,08:07 PM,10,13,14,13,24,73,81,3.7,1007,19,8,68,16,Arkansas
2020-04-20,21,8,0.0,10.4,4,0,06:00 AM,06:02 PM,06:46 AM,08:08 PM,10,15,15,15,16,31,77,1.7,1011,21,10,185,11,Arkansas
2020-04-21,20,11,0.0,9.2,4,0,06:25 AM,06:58 PM,06:45 AM,08:09 PM,10,16,16,16,19,39,67,0.6,1014,20,10,115,13,Arkansas
2020-04-22,18,13,0.0,6.8,4,0,06:51 AM,07:55 PM,06:44 AM,08:10 PM,14,15,15,15,28,79,91,49.3,1006,18,8,98,18,Arkansas
2020-04-23,23,11,0.0,11.6,5,0,07:18 AM,08:52 PM,06:42 AM,08:11 PM,12,17,18,17,27,25,76,2.4,1004,23,10,287,17,Arkansas
2020-04-24,17,12,0.0,8.0,3,7,07:47 AM,09:51 PM,06:41 AM,08:11 PM,11,14,15,14,20,62,83,25.5,1007,17,9,229,12,Arkansas
2020-04-25,20,9,0.0,11.6,5,15,08:20 AM,10:50 PM,06:40 AM,08:12 PM,9,13,14,13,24,11,73,0.0,1015,20,10,325,15,Arkansas
2020-04-26,22,10,0.0,11.6,5,22,08:58 AM,11:50 PM,06:39 AM,08:13 PM,10,16,17,16,19,13,68,0.0,1019,22,10,235,12,Arkansas
2020-04-27,24,14,0.0,10.4,4,30,09:43 AM,No moonset,06:37 AM,08:14 PM,14,19,20,19,32,49,76,2.7,1012,24,10,180,20,Arkansas
2020-04-28,23,16,0.0,8.1,5,37,10:33 AM,12:47 AM,06:36 AM,08:15 PM,16,19,21,19,27,58,83,2.9,1009,23,10,225,16,Arkansas
2020-04-29,19,11,0.0,11.6,5,45,11:32 AM,01:41 AM,06:35 AM,08:16 PM,7,14,15,14,38,14,60,0.0,1015,19,10,308,25,Arkansas
2020-04-30,21,9,0.0,11.6,5,52,12:35 PM,02:30 AM,06:34 AM,08:17 PM,9,14,15,14,16,2,69,0.0,1017,21,10,223,9,Arkansas
2020-05-01,26,14,0.0,11.6,6,58,01:43 PM,03:14 AM,06:33 AM,08:18 PM,14,19,20,19,39,13,70,0.0,1008,26,10,169,25,Arkansas
2020-05-02,26,16,0.0,9.3,5,65,02:52 PM,03:54 AM,06:32 AM,08:19 PM,18,23,23,21,24,28,80,0.1,1009,26,10,140,14,Arkansas
2020-05-03,22,18,0.0,8.1,4,72,04:04 PM,04:29 AM,06:31 AM,08:19 PM,18,20,21,20,27,75,88,3.4,1012,22,10,58,19,Arkansas
2020-05-04,25,16,0.0,7.0,5,80,05:16 PM,05:03 AM,06:30 AM,08:20 PM,18,20,21,20,24,77,89,2.0,1008,25,9,169,16,Arkansas
2020-05-05,21,12,0.0,11.6,5,87,06:28 PM,05:37 AM,06:29 AM,08:21 PM,9,16,17,16,24,21,66,0.0,1017,21,10,231,16,Arkansas
2020-05-06,20,10,0.0,11.6,5,94,07:42 PM,06:10 AM,06:27 AM,08:22 PM,8,15,16,15,18,13,63,0.0,1021,20,10,86,12,Arkansas
2020-05-07,18,10,0.0,7.0,4,100,08:56 PM,06:47 AM,06:26 AM,08:23 PM,11,14,15,14,31,59,83,1.4,1015,18,10,145,19,Arkansas
