date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-12-01,18,13,0.0,10.6,5,26,12:26 PM,11:13 PM,07:59 AM,06:22 PM,3,15,16,15,17,5,43,0.1,1018,18,10,334,13,Missouri
2019-12-02,17,11,0.0,10.2,4,33,01:06 PM,No moonset,08:00 AM,06:22 PM,2,12,13,12,15,1,44,0.0,1024,17,10,296,12,Missouri
2019-12-03,22,12,0.0,10.2,5,41,01:42 PM,12:08 AM,08:01 AM,06:22 PM,8,17,17,17,9,0,56,0.0,1018,22,10,199,7,Missouri
2019-12-04,22,14,0.0,10.2,5,48,02:14 PM,01:02 AM,08:02 AM,06:23 PM,11,18,19,18,9,4,64,0.0,1017,22,10,159,8,Missouri
2019-12-05,23,15,0.0,10.0,4,55,02:44 PM,01:55 AM,08:03 AM,06:23 PM,14,19,19,19,12,34,74,0.0,1016,23,10,164,9,Missouri
2019-12-06,21,18,0.0,10.0,4,62,03:15 PM,02:47 AM,08:03 AM,06:23 PM,14,19,20,19,20,26,75,0.1,1019,21,9,279,14,Missouri
2019-12-07,22,14,0.0,10.2,5,70,03:45 PM,03:40 AM,08:04 AM,06:23 PM,11,17,17,17,13,32,70,0.0,1023,22,10,137,10,Missouri
2019-12-08,22,14,0.0,10.2,5,77,04:16 PM,04:33 AM,08:05 AM,06:23 PM,14,18,19,18,14,11,78,0.0,1017,22,10,165,10,Missouri
2019-12-09,26,19,0.0,8.3,5,84,04:51 PM,05:29 AM,08:05 AM,06:23 PM,19,23,23,22,22,63,85,0.3,1011,26,10,201,14,Missouri
2019-12-10,13,10,0.0,5.1,3,92,05:30 PM,06:26 AM,08:06 AM,06:23 PM,10,11,14,11,27,93,81,4.9,1020,13,9,68,20,Missouri
2019-12-11,15,6,0.0,10.2,4,99,06:14 PM,07:26 AM,08:07 AM,06:24 PM,4,8,10,8,18,11,64,0.0,1030,15,10,35,14,Missouri
2019-12-12,17,8,0.0,10.0,3,100,07:04 PM,08:27 AM,08:07 AM,06:24 PM,7,11,12,11,13,43,72,0.0,1024,17,10,70,9,Missouri
2019-12-13,21,14,0.0,8.3,4,87,08:00 PM,09:27 AM,08:08 AM,06:24 PM,13,17,17,17,9,57,76,0.0,1014,21,10,205,7,Missouri
2019-12-14,23,15,0.0,10.2,5,79,09:01 PM,10:24 AM,08:09 AM,06:24 PM,12,19,19,19,11,2,66,0.0,1011,23,10,206,8,Missouri
2019-12-15,25,17,0.0,5.1,5,72,10:05 PM,11:17 AM,08:09 AM,06:25 PM,19,22,22,21,28,64,88,0.1,1010,25,8,170,18,Missouri
2019-12-16,23,10,0.0,8.3,4,65,11:11 PM,12:04 PM,08:10 AM,06:25 PM,14,16,18,16,27,60,80,4.1,1012,23,10,230,19,Missouri
2019-12-17,11,4,0.0,10.2,3,58,No moonrise,12:47 PM,08:11 AM,06:26 PM,-1,4,7,4,30,7,58,0.0,1025,11,10,17,22,Missouri
2019-12-18,16,7,0.0,10.2,4,50,12:16 AM,01:26 PM,08:11 AM,06:26 PM,-2,10,11,10,11,0,43,0.0,1031,16,10,276,9,Missouri
2019-12-19,14,9,0.0,10.0,3,43,01:20 AM,02:03 PM,08:12 AM,06:26 PM,1,11,11,11,12,33,52,0.0,1029,14,10,104,9,Missouri
2019-12-20,11,10,0.0,5.1,3,36,02:23 AM,02:39 PM,08:12 AM,06:27 PM,6,9,11,9,23,82,71,0.9,1026,11,8,80,16,Missouri
2019-12-21,15,10,0.0,6.7,3,28,03:26 AM,03:16 PM,08:13 AM,06:27 PM,5,11,11,11,15,78,63,0.2,1026,15,9,37,11,Missouri
2019-12-22,16,9,0.0,10.2,4,21,04:29 AM,03:55 PM,08:13 AM,06:28 PM,6,11,12,11,12,1,65,0.0,1024,16,10,297,10,Missouri
2019-12-23,21,10,0.0,10.1,5,14,05:34 AM,04:37 PM,08:14 AM,06:28 PM,7,14,15,14,9,1,61,0.0,1021,21,10,262,8,Missouri
2019-12-24,26,14,0.0,10.2,5,7,06:37 AM,05:23 PM,08:14 AM,06:29 PM,12,19,19,19,6,0,66,0.0,1018,26,10,184,5,Missouri
2019-12-25,21,13,0.0,10.0,4,0,07:40 AM,06:13 PM,08:15 AM,06:29 PM,13,17,17,17,9,25,82,0.0,1015,21,10,160,7,Missouri
2019-12-26,23,15,0.0,10.2,4,0,08:38 AM,07:07 PM,08:15 AM,06:30 PM,15,18,19,18,13,24,83,0.0,1017,23,8,113,9,Missouri
2019-12-27,22,16,0.0,6.7,4,0,09:32 AM,08:03 PM,08:15 AM,06:31 PM,16,18,18,18,14,46,86,0.1,1017,22,10,92,10,Missouri
2019-12-28,23,17,0.0,5.1,5,8,10:19 AM,09:00 PM,08:16 AM,06:31 PM,18,20,20,20,29,88,90,0.5,1010,23,10,162,19,Missouri
2019-12-29,19,13,0.0,8.3,4,15,11:02 AM,09:56 PM,08:16 AM,06:32 PM,11,17,18,17,20,51,68,7.8,1011,19,9,290,14,Missouri
2019-12-30,16,11,0.0,10.2,4,22,11:39 AM,10:51 PM,08:16 AM,06:33 PM,0,13,13,13,14,0,41,0.0,1021,16,10,335,12,Missouri
2019-12-31,17,10,0.0,10.2,4,26,12:13 PM,11:45 PM,08:17 AM,06:33 PM,-1,12,13,12,10,9,40,0.0,1023,17,10,80,8,Missouri
2020-01-01,14,7,0.0,5.1,3,37,12:44 PM,No moonset,08:17 AM,06:34 PM,7,11,13,11,23,82,68,10.5,1015,14,9,107,15,Missouri
2020-01-02,18,13,0.0,6.7,4,44,01:14 PM,12:37 AM,08:17 AM,06:35 PM,15,16,16,16,18,72,89,8.9,1005,18,7,215,11,Missouri
2020-01-03,16,12,0.0,10.0,3,51,01:44 PM,01:29 AM,08:17 AM,06:35 PM,8,13,14,13,29,18,64,0.0,1012,16,10,276,19,Missouri
2020-01-04,21,12,0.0,10.2,5,59,02:14 PM,02:22 AM,08:18 AM,06:36 PM,5,15,16,15,15,1,51,0.0,1026,21,10,293,11,Missouri
2020-01-05,21,14,0.0,10.2,5,66,02:47 PM,03:16 AM,08:18 AM,06:37 PM,9,17,17,17,15,0,59,0.0,1027,21,10,208,12,Missouri
2020-01-06,20,15,0.0,6.7,4,73,03:24 PM,04:11 AM,08:18 AM,06:38 PM,13,17,17,17,12,44,74,0.0,1022,20,10,227,8,Missouri
2020-01-07,19,12,0.0,10.0,4,80,04:04 PM,05:10 AM,08:18 AM,06:38 PM,1,15,15,15,17,40,40,0.0,1028,19,10,36,12,Missouri
2020-01-08,18,12,0.0,10.2,5,88,04:51 PM,06:10 AM,08:18 AM,06:39 PM,7,15,15,15,17,12,58,0.0,1026,18,10,138,13,Missouri
2020-01-09,24,14,0.0,5.1,5,95,05:46 PM,07:11 AM,08:18 AM,06:40 PM,16,19,20,19,33,69,80,0.9,1018,24,10,165,21,Missouri
2020-01-10,24,20,0.0,5.1,5,100,06:46 PM,08:11 AM,08:18 AM,06:41 PM,19,23,23,22,44,95,84,6.4,1012,24,9,168,28,Missouri
2020-01-11,14,9,0.0,10.0,3,100,07:51 PM,09:07 AM,08:18 AM,06:42 PM,8,12,13,12,30,46,68,6.3,1015,14,10,294,24,Missouri
2020-01-12,17,11,0.0,10.2,4,83,08:59 PM,09:59 AM,08:18 AM,06:42 PM,7,13,14,13,10,5,66,0.0,1022,17,10,115,8,Missouri
2020-01-13,18,12,0.0,5.1,3,76,10:06 PM,10:44 AM,08:18 AM,06:43 PM,12,14,15,14,14,65,83,0.0,1021,18,9,101,10,Missouri
2020-01-14,25,14,0.0,5.1,5,69,11:12 PM,11:26 AM,08:18 AM,06:44 PM,19,22,22,21,11,88,91,2.2,1020,25,4,159,7,Missouri
2020-01-15,25,20,0.0,6.8,5,61,No moonrise,12:04 PM,08:18 AM,06:45 PM,20,23,23,22,18,71,88,0.0,1019,25,9,173,12,Missouri
2020-01-16,23,19,0.0,5.1,5,54,12:16 AM,12:41 PM,08:18 AM,06:46 PM,19,20,21,20,16,86,92,0.4,1023,23,6,109,11,Missouri
2020-01-17,21,17,0.0,5.1,4,47,01:20 AM,01:18 PM,08:18 AM,06:47 PM,16,18,19,18,25,90,86,0.4,1023,21,10,103,18,Missouri
2020-01-18,22,16,0.0,10.0,5,40,02:23 AM,01:55 PM,08:17 AM,06:48 PM,16,19,20,19,12,56,82,2.1,1021,22,9,131,9,Missouri
2020-01-19,13,10,0.0,10.0,3,32,03:26 AM,02:35 PM,08:17 AM,06:48 PM,2,11,12,11,25,56,49,0.2,1027,13,10,34,19,Missouri
2020-01-20,15,9,0.0,10.3,4,25,04:28 AM,03:19 PM,08:17 AM,06:49 PM,0,11,12,11,13,8,45,0.0,1032,15,10,64,11,Missouri
2020-01-21,13,9,0.0,10.3,4,18,05:30 AM,04:06 PM,08:17 AM,06:50 PM,2,9,11,9,17,15,56,0.0,1029,13,10,97,13,Missouri
2020-01-22,12,8,0.0,5.2,3,11,06:28 AM,04:58 PM,08:16 AM,06:51 PM,8,8,10,8,33,88,81,7.7,1021,12,7,108,22,Missouri
2020-01-23,20,12,0.0,10.0,4,3,07:23 AM,05:53 PM,08:16 AM,06:52 PM,14,16,16,16,22,47,83,6.2,1014,20,8,269,15,Missouri
2020-01-24,19,13,0.0,10.4,5,0,08:13 AM,06:49 PM,08:16 AM,06:53 PM,8,16,16,16,11,2,63,0.0,1020,19,10,79,9,Missouri
2020-01-25,18,12,0.0,10.0,4,0,08:57 AM,07:46 PM,08:15 AM,06:54 PM,9,15,15,15,19,28,65,0.9,1020,18,10,121,14,Missouri
2020-01-26,20,15,0.0,6.8,4,4,09:37 AM,08:41 PM,08:15 AM,06:55 PM,16,18,18,18,14,84,90,5.5,1015,20,8,140,9,Missouri
2020-01-27,25,15,0.0,10.4,6,11,10:11 AM,09:36 PM,08:14 AM,06:55 PM,15,19,20,19,8,6,75,0.0,1015,25,10,160,6,Missouri
2020-01-28,21,15,0.0,5.2,4,18,10:44 AM,10:28 PM,08:14 AM,06:56 PM,13,17,18,17,25,64,78,4.7,1013,21,10,174,16,Missouri
2020-01-29,16,9,0.0,8.4,3,26,11:14 AM,11:21 PM,08:13 AM,06:57 PM,7,11,12,11,27,39,69,0.0,1015,16,10,257,19,Missouri
2020-01-30,14,11,0.0,8.4,3,33,11:44 AM,No moonset,08:13 AM,06:58 PM,8,11,12,11,17,57,76,0.0,1017,14,10,50,13,Missouri
2020-01-31,16,11,0.0,6.8,3,37,12:13 PM,12:12 AM,08:12 AM,06:59 PM,7,12,13,12,16,72,67,0.0,1020,16,10,206,12,Missouri
2020-02-01,19,10,0.0,10.9,4,49,12:45 PM,01:05 AM,08:12 AM,07:00 PM,5,13,15,13,14,1,55,0.0,1024,19,10,290,11,Missouri
2020-02-02,22,14,0.0,10.1,5,57,01:19 PM,01:59 AM,08:11 AM,07:01 PM,7,17,17,17,13,17,53,0.0,1022,22,10,221,9,Missouri
2020-02-03,19,15,0.0,5.5,4,64,01:56 PM,02:55 AM,08:11 AM,07:01 PM,14,17,17,17,32,61,82,0.6,1013,19,9,182,19,Missouri
2020-02-04,24,18,0.0,7.0,5,72,02:39 PM,03:53 AM,08:10 AM,07:02 PM,18,21,21,21,22,78,87,2.1,1008,24,9,187,15,Missouri
2020-02-05,20,8,0.0,8.5,3,79,03:29 PM,04:53 AM,08:09 AM,07:03 PM,11,13,15,13,31,71,79,2.9,1007,20,10,273,22,Missouri
2020-02-06,11,5,0.0,11.0,2,87,04:26 PM,05:53 AM,08:09 AM,07:04 PM,-0,5,8,5,24,33,55,0.5,1011,11,10,298,19,Missouri
2020-02-07,18,9,0.0,11.0,4,95,05:30 PM,06:51 AM,08:08 AM,07:05 PM,3,13,13,13,16,0,50,0.0,1013,18,10,214,13,Missouri
2020-02-08,19,13,0.0,8.5,4,100,06:37 PM,07:45 AM,08:07 AM,07:06 PM,10,15,16,15,15,34,67,0.0,1020,19,10,131,11,Missouri
2020-02-09,21,15,0.0,5.5,4,100,07:47 PM,08:35 AM,08:07 AM,07:06 PM,16,18,18,18,30,92,87,0.9,1017,21,10,151,18,Missouri
2020-02-10,24,20,0.0,5.5,5,83,08:55 PM,09:20 AM,08:06 AM,07:07 PM,19,23,23,21,27,83,89,8.3,1014,24,10,189,18,Missouri
2020-02-11,18,12,0.0,5.5,4,75,10:03 PM,10:01 AM,08:05 AM,07:08 PM,16,17,17,17,16,100,88,1.5,1015,18,8,96,11,Missouri
2020-02-12,21,16,0.0,5.5,5,68,11:10 PM,10:39 AM,08:04 AM,07:09 PM,17,19,20,19,28,78,86,2.2,1010,21,10,219,18,Missouri
2020-02-13,16,11,0.0,11.1,4,60,No moonrise,11:17 AM,08:04 AM,07:10 PM,7,13,14,13,20,14,66,0.0,1020,16,10,239,16,Missouri
2020-02-14,16,8,0.0,11.1,4,53,12:15 AM,11:55 AM,08:03 AM,07:10 PM,4,10,12,10,16,0,61,0.0,1028,16,10,61,14,Missouri
2020-02-15,18,9,0.0,7.1,3,45,01:20 AM,12:35 PM,08:02 AM,07:11 PM,8,13,13,13,14,46,71,0.0,1025,18,10,98,11,Missouri
2020-02-16,25,15,0.0,11.1,4,38,02:23 AM,01:18 PM,08:01 AM,07:12 PM,16,19,20,19,9,48,82,0.1,1018,25,8,224,6,Missouri
2020-02-17,25,17,0.0,5.6,5,30,03:25 AM,02:04 PM,08:00 AM,07:13 PM,18,20,21,20,20,83,88,0.7,1012,25,7,178,14,Missouri
2020-02-18,24,20,0.0,7.2,5,22,04:24 AM,02:54 PM,07:59 AM,07:14 PM,20,23,23,22,16,78,89,1.6,1015,24,7,155,11,Missouri
2020-02-19,17,15,0.0,5.8,4,15,05:19 AM,03:47 PM,07:58 AM,07:14 PM,14,17,17,17,21,88,82,0.7,1022,17,10,43,15,Missouri
2020-02-20,16,11,0.0,5.8,3,7,06:09 AM,04:42 PM,07:57 AM,07:15 PM,11,14,15,14,26,100,82,2.8,1024,16,9,85,19,Missouri
2020-02-21,14,7,0.0,11.6,4,0,06:55 AM,05:38 PM,07:56 AM,07:16 PM,-1,8,10,8,22,22,48,0.0,1035,14,10,38,17,Missouri
2020-02-22,16,7,0.0,11.6,4,0,07:35 AM,06:34 PM,07:56 AM,07:16 PM,1,10,11,10,13,7,52,0.0,1030,16,10,103,10,Missouri
2020-02-23,18,12,0.0,5.8,4,0,08:11 AM,07:29 PM,07:55 AM,07:17 PM,12,15,15,15,22,87,80,0.0,1020,18,10,142,14,Missouri
2020-02-24,23,18,0.0,5.8,5,0,08:44 AM,08:21 PM,07:54 AM,07:18 PM,15,20,20,20,26,79,76,2.9,1011,23,10,239,17,Missouri
2020-02-25,23,16,0.0,11.6,4,8,09:15 AM,09:14 PM,07:53 AM,07:19 PM,9,18,19,18,15,53,56,0.0,1013,23,10,207,11,Missouri
2020-02-26,11,7,0.0,11.6,3,15,09:45 AM,10:06 PM,07:52 AM,07:19 PM,-3,7,10,7,32,1,41,0.0,1027,11,10,334,23,Missouri
2020-02-27,17,8,0.0,11.6,4,23,10:14 AM,10:58 PM,07:51 AM,07:20 PM,-3,11,12,11,9,0,37,0.0,1028,17,10,166,8,Missouri
2020-02-28,20,10,0.0,11.6,5,30,10:44 AM,11:51 PM,07:50 AM,07:21 PM,4,15,15,15,8,4,51,0.0,1028,20,10,226,6,Missouri
2020-02-29,21,11,0.0,11.6,4,38,11:17 AM,No moonset,07:48 AM,07:21 PM,7,16,16,16,17,25,58,0.0,1026,21,10,190,12,Missouri
2020-03-01,21,15,0.0,5.9,4,44,11:52 AM,12:45 AM,07:47 AM,07:22 PM,14,18,19,18,34,73,76,0.2,1017,21,10,178,21,Missouri
2020-03-02,21,18,0.0,5.9,4,51,12:31 PM,01:42 AM,07:46 AM,07:23 PM,18,20,20,20,23,81,90,0.6,1011,21,9,158,14,Missouri
2020-03-03,24,19,0.0,5.9,5,58,01:17 PM,02:39 AM,07:45 AM,07:23 PM,18,21,22,21,17,63,85,1.4,1009,24,9,125,11,Missouri
2020-03-04,24,20,0.0,5.9,5,65,02:09 PM,03:37 AM,07:44 AM,07:24 PM,18,22,22,21,26,76,81,4.9,1008,24,10,179,17,Missouri
2020-03-05,19,14,0.0,8.8,4,73,03:08 PM,04:34 AM,07:43 AM,07:25 PM,10,15,16,15,26,54,65,0.0,1020,19,10,228,21,Missouri
2020-03-06,23,14,0.0,11.6,5,80,04:12 PM,05:30 AM,07:42 AM,07:25 PM,5,17,17,17,17,13,45,0.0,1030,23,10,83,12,Missouri
2020-03-07,16,11,0.0,11.6,4,87,05:21 PM,06:21 AM,07:41 AM,07:26 PM,4,12,14,12,20,36,54,0.0,1030,16,10,95,14,Missouri
2020-03-08,19,12,0.0,7.4,4,95,06:30 PM,07:08 AM,07:40 AM,07:27 PM,11,15,16,15,22,48,73,0.1,1026,19,10,119,15,Missouri
2020-03-09,24,17,0.0,11.6,5,100,07:41 PM,07:51 AM,07:39 AM,07:27 PM,16,20,20,20,23,49,77,0.4,1023,24,10,160,15,Missouri
2020-03-10,25,18,0.0,8.8,5,100,08:49 PM,08:31 AM,07:37 AM,07:28 PM,18,22,22,21,13,55,81,2.0,1024,25,9,181,9,Missouri
2020-03-11,26,18,0.0,11.6,5,84,09:58 PM,09:11 AM,07:36 AM,07:29 PM,18,22,22,21,19,37,81,0.0,1019,26,9,190,14,Missouri
2020-03-12,26,18,0.0,11.6,6,76,11:05 PM,09:50 AM,07:35 AM,07:29 PM,18,22,22,21,21,27,81,0.0,1014,26,10,192,15,Missouri
2020-03-13,25,19,0.0,7.4,5,69,No moonrise,10:30 AM,07:34 AM,07:30 PM,19,23,23,22,19,72,83,0.2,1016,25,8,151,14,Missouri
2020-03-14,26,21,0.0,10.2,5,62,12:12 AM,11:13 AM,07:33 AM,07:31 PM,20,24,24,23,21,71,83,0.1,1020,26,10,156,15,Missouri
2020-03-15,27,20,0.0,8.8,5,55,01:17 AM,12:00 PM,07:32 AM,07:31 PM,19,24,24,23,16,59,82,0.2,1022,27,8,128,12,Missouri
2020-03-16,25,19,0.0,6.0,5,47,02:18 AM,12:49 PM,07:30 AM,07:32 PM,18,22,22,21,18,60,81,0.6,1021,25,10,121,14,Missouri
2020-03-17,26,20,0.0,10.2,5,40,03:16 AM,01:43 PM,07:29 AM,07:32 PM,19,24,24,22,19,55,83,1.6,1019,26,10,131,13,Missouri
2020-03-18,27,20,0.0,8.8,5,33,04:08 AM,02:37 PM,07:28 AM,07:33 PM,20,24,24,23,24,67,83,0.2,1017,27,9,156,18,Missouri
2020-03-19,27,22,0.0,7.4,5,25,04:55 AM,03:33 PM,07:27 AM,07:34 PM,20,26,26,24,27,82,82,0.2,1016,27,10,176,19,Missouri
2020-03-20,25,20,0.0,7.4,5,18,05:36 AM,04:28 PM,07:26 AM,07:34 PM,20,25,25,23,21,74,84,11.0,1020,25,10,159,14,Missouri
2020-03-21,21,17,0.0,6.1,5,11,06:13 AM,05:24 PM,07:24 AM,07:35 PM,18,20,20,20,19,92,88,3.3,1023,21,9,58,14,Missouri
2020-03-22,26,15,0.0,6.1,5,4,06:46 AM,06:17 PM,07:23 AM,07:35 PM,19,23,23,21,17,75,85,3.0,1019,26,8,137,12,Missouri
2020-03-23,27,20,0.0,7.5,5,0,07:18 AM,07:09 PM,07:22 AM,07:36 PM,20,24,24,23,22,67,85,0.2,1017,27,8,181,16,Missouri
2020-03-24,26,21,0.0,6.1,5,0,07:48 AM,08:01 PM,07:21 AM,07:37 PM,20,25,25,23,28,69,84,0.2,1013,26,10,198,19,Missouri
2020-03-25,33,21,0.0,11.6,6,3,08:16 AM,08:54 PM,07:20 AM,07:37 PM,18,28,28,27,12,26,64,0.0,1012,33,10,229,8,Missouri
2020-03-26,29,20,0.0,11.6,7,11,08:46 AM,09:47 PM,07:18 AM,07:38 PM,19,26,26,24,20,14,77,0.0,1012,29,10,174,15,Missouri
2020-03-27,29,21,0.0,10.2,6,18,09:18 AM,10:40 PM,07:17 AM,07:38 PM,20,27,27,24,25,40,80,0.0,1010,29,10,170,19,Missouri
2020-03-28,26,22,0.0,6.1,5,25,09:52 AM,11:36 PM,07:16 AM,07:39 PM,17,26,26,24,22,79,70,1.7,1011,26,10,237,16,Missouri
2020-03-29,27,19,0.0,11.6,6,32,10:29 AM,No moonset,07:15 AM,07:40 PM,7,23,23,23,13,20,38,0.0,1017,27,10,149,9,Missouri
2020-03-30,27,21,0.0,7.5,5,40,11:12 AM,12:31 AM,07:14 AM,07:40 PM,19,26,26,24,23,67,75,0.6,1014,27,10,143,17,Missouri
2020-03-31,26,21,0.0,11.6,5,44,12:00 PM,01:29 AM,07:12 AM,07:41 PM,16,24,24,23,25,27,67,0.1,1012,26,10,257,18,Missouri
2020-04-01,22,15,0.0,10.2,4,56,12:54 PM,02:25 AM,07:11 AM,07:41 PM,11,18,19,18,21,25,63,0.0,1016,22,10,108,16,Missouri
2020-04-02,23,17,0.0,6.2,5,64,01:54 PM,03:19 AM,07:10 AM,07:42 PM,15,20,21,20,25,76,73,0.5,1014,23,10,137,17,Missouri
2020-04-03,27,20,0.0,6.2,5,71,02:59 PM,04:10 AM,07:09 AM,07:43 PM,19,25,25,23,23,80,79,1.4,1013,27,10,146,16,Missouri
2020-04-04,22,19,0.0,6.2,5,79,04:06 PM,04:57 AM,07:08 AM,07:43 PM,18,21,22,21,16,81,86,14.7,1014,22,9,99,11,Missouri
2020-04-05,23,15,0.0,7.5,5,87,05:15 PM,05:41 AM,07:06 AM,07:44 PM,16,20,21,20,16,75,79,1.0,1016,23,10,83,12,Missouri
2020-04-06,25,19,0.0,6.2,5,94,06:24 PM,06:22 AM,07:05 AM,07:44 PM,18,23,23,22,14,62,80,0.1,1016,25,10,112,11,Missouri
2020-04-07,29,22,0.0,10.3,6,100,07:33 PM,07:01 AM,07:04 AM,07:45 PM,22,28,28,25,18,68,83,0.7,1014,29,8,187,13,Missouri
2020-04-08,32,22,0.0,10.3,6,100,08:42 PM,07:40 AM,07:03 AM,07:45 PM,22,29,29,26,17,37,78,0.1,1012,32,10,212,12,Missouri
2020-04-09,32,22,0.0,8.9,6,83,09:51 PM,08:20 AM,07:02 AM,07:46 PM,20,29,29,27,13,45,71,6.5,1011,32,10,200,9,Missouri
2020-04-10,24,20,0.0,10.3,5,76,11:00 PM,09:04 AM,07:01 AM,07:47 PM,16,22,23,22,23,44,71,9.2,1014,24,10,96,17,Missouri
2020-04-11,23,19,0.0,7.7,5,68,No moonrise,09:50 AM,06:59 AM,07:47 PM,18,21,22,21,23,74,84,6.7,1010,23,9,126,15,Missouri
2020-04-12,28,23,0.0,10.3,6,61,12:05 AM,10:40 AM,06:58 AM,07:48 PM,18,26,26,25,36,48,70,0.9,1003,28,9,209,24,Missouri
2020-04-13,22,13,0.0,11.6,5,53,01:07 AM,11:34 AM,06:57 AM,07:48 PM,7,17,19,17,24,0,48,0.0,1015,22,10,263,18,Missouri
2020-04-14,27,15,0.0,10.3,5,46,02:03 AM,12:30 PM,06:56 AM,07:49 PM,12,20,21,20,17,31,62,0.0,1017,27,10,143,13,Missouri
2020-04-15,24,13,0.0,11.6,5,38,02:53 AM,01:27 PM,06:55 AM,07:50 PM,7,17,18,17,19,13,49,0.0,1020,24,10,48,14,Missouri
2020-04-16,23,14,0.0,10.3,4,30,03:37 AM,02:23 PM,06:54 AM,07:50 PM,11,19,19,19,18,31,61,0.0,1019,23,10,107,14,Missouri
2020-04-17,26,18,0.0,6.5,5,23,04:15 AM,03:18 PM,06:53 AM,07:51 PM,18,23,23,22,14,80,81,1.7,1016,26,10,148,9,Missouri
2020-04-18,22,21,0.0,6.5,5,15,04:49 AM,04:12 PM,06:52 AM,07:51 PM,20,22,24,22,18,88,91,9.2,1014,22,9,85,12,Missouri
2020-04-19,29,21,0.0,6.5,6,8,05:21 AM,05:05 PM,06:51 AM,07:52 PM,20,27,27,24,21,80,81,3.7,1007,29,7,216,14,Missouri
2020-04-20,31,21,0.0,11.6,7,0,05:51 AM,05:57 PM,06:50 AM,07:53 PM,15,27,27,26,12,6,53,0.0,1010,31,10,255,9,Missouri
2020-04-21,30,20,0.0,11.6,6,0,06:19 AM,06:49 PM,06:49 AM,07:53 PM,13,25,25,25,17,26,49,0.0,1013,30,10,168,11,Missouri
2020-04-22,27,21,0.0,6.5,5,0,06:49 AM,07:42 PM,06:48 AM,07:54 PM,21,27,27,24,27,78,85,1.3,1009,27,10,172,19,Missouri
2020-04-23,35,23,0.0,11.6,6,0,07:20 AM,08:35 PM,06:47 AM,07:54 PM,19,30,30,28,17,45,65,1.8,1007,35,10,257,12,Missouri
2020-04-24,32,22,0.0,11.6,7,7,07:53 AM,09:31 PM,06:46 AM,07:55 PM,17,29,29,27,16,1,55,0.0,1008,32,10,184,13,Missouri
2020-04-25,30,23,0.0,11.6,6,15,08:29 AM,10:27 PM,06:45 AM,07:56 PM,14,27,27,26,14,20,51,0.3,1014,30,10,42,11,Missouri
