date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-12-01,8,4,0.0,3.5,2,26,12:32 PM,10:36 PM,08:07 AM,05:47 PM,4,4,6,4,16,93,86,8.2,1006,8,6,148,11,Washington
2019-12-02,7,4,0.4,3.5,2,33,01:08 PM,11:35 PM,08:08 AM,05:47 PM,1,2,5,2,21,85,77,1.1,1003,7,8,300,16,Washington
2019-12-03,8,2,0.0,8.7,3,41,01:40 PM,No moonset,08:09 AM,05:46 PM,-2,0,4,0,26,28,64,0.0,1006,8,10,318,19,Washington
2019-12-04,9,3,0.0,7.0,2,48,02:08 PM,12:33 AM,08:10 AM,05:46 PM,-1,3,5,3,15,42,66,1.4,1003,9,9,264,11,Washington
2019-12-05,8,2,0.0,8.7,2,55,02:34 PM,01:31 AM,08:11 AM,05:46 PM,-4,1,4,1,21,7,55,0.0,1013,8,10,284,15,Washington
2019-12-06,8,2,0.0,5.2,2,62,02:59 PM,02:27 AM,08:12 AM,05:46 PM,0,3,5,3,13,68,71,0.2,1021,8,9,234,9,Washington
2019-12-07,7,2,0.0,8.7,2,70,03:25 PM,03:25 AM,08:13 AM,05:46 PM,-4,2,5,2,13,20,56,0.3,1028,7,9,253,10,Washington
2019-12-08,7,0,0.0,5.2,1,77,03:52 PM,04:23 AM,08:14 AM,05:46 PM,-3,2,4,2,13,46,62,0.0,1031,7,10,159,9,Washington
2019-12-09,10,6,0.0,3.5,2,84,04:21 PM,05:24 AM,08:15 AM,05:46 PM,6,6,8,6,19,95,91,6.0,1017,10,5,189,11,Washington
2019-12-10,14,5,0.0,3.5,3,92,04:56 PM,06:26 AM,08:15 AM,05:46 PM,9,9,11,9,30,84,85,6.7,1013,14,8,254,19,Washington
2019-12-11,5,-0,6.7,8.7,1,99,05:36 PM,07:30 AM,08:16 AM,05:46 PM,-3,-2,2,-2,15,28,69,7.9,1028,5,8,317,12,Washington
2019-12-12,5,0,0.0,8.7,1,100,06:22 PM,08:33 AM,08:17 AM,05:47 PM,-8,-1,2,-1,10,28,48,0.0,1038,5,10,169,8,Washington
2019-12-13,6,1,0.0,3.5,1,87,07:18 PM,09:35 AM,08:18 AM,05:47 PM,1,3,4,3,4,99,85,5.4,1024,6,7,239,3,Washington
2019-12-14,9,6,0.0,5.2,2,79,08:19 PM,10:32 AM,08:18 AM,05:47 PM,6,5,7,5,17,79,90,3.5,1000,9,6,204,10,Washington
2019-12-15,10,3,0.0,8.7,3,72,09:27 PM,11:23 AM,08:19 AM,05:47 PM,0,4,6,4,22,19,65,0.0,1014,10,10,276,16,Washington
2019-12-16,2,1,0.0,3.5,1,65,10:37 PM,12:06 PM,08:20 AM,05:48 PM,1,-0,2,-0,11,92,91,12.5,1022,2,5,150,8,Washington
2019-12-17,7,3,0.0,3.5,1,58,11:47 PM,12:45 PM,08:20 AM,05:48 PM,2,2,4,2,27,88,83,4.3,1009,7,8,272,18,Washington
2019-12-18,5,-2,0.0,7.0,1,50,No moonrise,01:19 PM,08:21 AM,05:48 PM,-7,-4,1,-4,24,17,55,0.0,1016,5,10,302,19,Washington
2019-12-19,2,-5,0.0,8.7,2,43,12:57 AM,01:50 PM,08:22 AM,05:49 PM,-13,-6,-2,-6,18,3,42,0.0,1030,2,10,278,14,Washington
2019-12-20,4,-1,0.0,8.7,1,36,02:06 AM,02:21 PM,08:22 AM,05:49 PM,-9,-1,1,-1,8,28,48,0.0,1035,4,10,200,6,Washington
2019-12-21,5,-2,0.0,5.2,1,28,03:15 AM,02:52 PM,08:23 AM,05:50 PM,-6,0,1,0,5,69,57,0.0,1035,5,10,144,4,Washington
2019-12-22,7,1,0.0,8.7,2,21,04:23 AM,03:26 PM,08:23 AM,05:50 PM,-1,3,4,3,6,24,69,0.0,1029,7,10,230,4,Washington
2019-12-23,14,2,0.0,8.7,3,14,05:33 AM,04:02 PM,08:24 AM,05:51 PM,1,7,8,7,7,25,65,0.0,1021,14,10,246,5,Washington
2019-12-24,12,5,0.0,8.7,3,7,06:41 AM,04:44 PM,08:24 AM,05:51 PM,4,7,9,7,10,2,71,0.0,1019,12,10,136,7,Washington
2019-12-25,10,3,0.0,7.0,2,0,07:47 AM,05:32 PM,08:25 AM,05:52 PM,1,7,7,7,6,19,66,0.0,1022,10,10,133,5,Washington
2019-12-26,13,4,0.0,8.7,3,0,08:47 AM,06:24 PM,08:25 AM,05:52 PM,5,8,8,8,6,12,80,0.0,1024,13,10,149,4,Washington
2019-12-27,11,6,0.0,7.0,2,0,09:40 AM,07:22 PM,08:25 AM,05:53 PM,7,7,8,7,9,42,90,0.0,1024,11,9,183,6,Washington
2019-12-28,17,9,0.0,8.7,4,8,10:26 AM,08:21 PM,08:26 AM,05:54 PM,9,12,12,12,7,10,82,0.0,1023,17,10,227,5,Washington
2019-12-29,11,9,0.0,3.5,2,15,11:05 AM,09:21 PM,08:26 AM,05:54 PM,8,9,10,9,12,89,89,7.0,1019,11,8,125,7,Washington
2019-12-30,17,9,0.0,7.0,4,22,11:39 AM,10:20 PM,08:26 AM,05:55 PM,12,14,14,14,19,75,88,2.2,1005,17,8,212,12,Washington
2019-12-31,11,6,0.0,8.7,2,26,12:09 PM,11:19 PM,08:26 AM,05:56 PM,2,7,8,7,15,49,66,0.3,1007,11,10,273,12,Washington
2020-01-01,9,5,0.0,8.7,3,37,12:35 PM,No moonset,08:27 AM,05:57 PM,-2,4,6,4,14,6,55,0.0,1011,9,10,270,11,Washington
2020-01-02,10,3,0.0,8.7,2,44,01:01 PM,12:15 AM,08:27 AM,05:57 PM,0,6,7,6,11,25,63,0.0,1015,10,10,208,8,Washington
2020-01-03,16,8,0.0,3.5,3,51,01:26 PM,01:13 AM,08:27 AM,05:58 PM,9,10,11,10,26,88,87,19.6,1009,16,8,216,16,Washington
2020-01-04,15,7,0.0,3.5,3,59,01:52 PM,02:10 AM,08:27 AM,05:59 PM,10,10,12,10,21,88,86,4.8,1005,15,10,250,14,Washington
2020-01-05,8,3,0.0,9.7,3,66,02:20 PM,03:09 AM,08:27 AM,06:00 PM,-2,2,5,2,26,20,56,1.5,1013,8,10,287,20,Washington
2020-01-06,9,3,0.0,9.7,3,73,02:51 PM,04:09 AM,08:27 AM,06:01 PM,-3,3,5,3,14,16,58,0.0,1016,9,10,257,10,Washington
2020-01-07,4,0,2.9,6.6,1,80,03:28 PM,05:12 AM,08:27 AM,06:02 PM,-3,1,3,1,9,55,69,5.6,1018,4,8,209,7,Washington
2020-01-08,3,-4,0.0,9.8,2,88,04:11 PM,06:15 AM,08:27 AM,06:03 PM,-5,-4,1,-4,26,3,65,0.0,1021,3,10,279,18,Washington
2020-01-09,4,-1,0.0,9.8,1,95,05:03 PM,07:19 AM,08:27 AM,06:04 PM,-9,-2,1,-2,12,29,48,0.0,1038,4,10,196,9,Washington
2020-01-10,10,-3,0.0,6.6,2,100,06:04 PM,08:19 AM,08:26 AM,06:05 PM,2,3,5,3,21,58,79,0.0,1034,10,10,197,13,Washington
2020-01-11,17,5,0.0,4.9,3,100,07:11 PM,09:14 AM,08:26 AM,06:06 PM,12,12,13,12,24,79,88,0.0,1024,17,6,188,14,Washington
2020-01-12,19,15,0.0,9.8,5,83,08:22 PM,10:02 AM,08:26 AM,06:07 PM,11,17,18,17,26,32,65,3.1,1019,19,10,205,17,Washington
2020-01-13,13,7,0.0,9.8,3,76,09:35 PM,10:44 AM,08:26 AM,06:08 PM,4,9,9,9,7,23,70,0.0,1029,13,10,111,5,Washington
2020-01-14,11,8,0.0,4.9,2,69,10:47 PM,11:20 AM,08:25 AM,06:09 PM,7,8,9,8,9,79,86,0.3,1024,11,10,106,7,Washington
2020-01-15,16,8,0.0,9.9,3,61,11:58 PM,11:53 AM,08:25 AM,06:10 PM,8,10,11,10,11,37,82,0.0,1020,16,8,254,7,Washington
2020-01-16,12,2,0.0,9.9,3,54,No moonrise,12:24 PM,08:25 AM,06:11 PM,-0,5,9,5,30,15,56,0.1,1019,12,10,286,22,Washington
2020-01-17,1,-2,0.0,9.9,2,47,01:07 AM,12:55 PM,08:24 AM,06:12 PM,-13,-5,-0,-5,22,5,38,0.0,1036,1,10,283,18,Washington
2020-01-18,1,-4,2.8,4.9,1,40,02:15 AM,01:28 PM,08:24 AM,06:13 PM,-7,-4,-0,-4,21,82,59,8.4,1028,1,8,162,14,Washington
2020-01-19,6,-3,0.0,6.6,1,32,03:24 AM,02:02 PM,08:23 AM,06:14 PM,-1,-1,3,-1,28,50,69,0.3,1012,6,10,273,18,Washington
2020-01-20,0,-4,0.0,9.9,2,25,04:30 AM,02:41 PM,08:23 AM,06:15 PM,-11,-8,-2,-8,23,10,52,0.0,1025,0,10,325,19,Washington
2020-01-21,3,-4,0.0,9.9,2,18,05:36 AM,03:26 PM,08:22 AM,06:16 PM,-10,-5,-1,-5,14,4,51,0.0,1031,3,10,342,12,Washington
2020-01-22,7,-2,0.0,10.0,2,11,06:37 AM,04:15 PM,08:22 AM,06:17 PM,-7,-0,2,-0,9,4,52,0.0,1031,7,10,252,7,Washington
2020-01-23,6,-2,0.0,6.6,1,3,07:32 AM,05:11 PM,08:21 AM,06:18 PM,-7,1,2,1,5,60,54,0.0,1029,6,10,189,4,Washington
2020-01-24,9,0,0.0,5.0,1,0,08:20 AM,06:09 PM,08:21 AM,06:20 PM,2,3,4,3,13,80,85,0.6,1024,9,9,114,9,Washington
2020-01-25,11,5,0.0,6.7,3,0,09:02 AM,07:09 PM,08:20 AM,06:21 PM,7,7,9,7,22,72,84,52.7,1011,11,8,203,15,Washington
2020-01-26,8,4,0.0,8.3,2,4,09:38 AM,08:08 PM,08:19 AM,06:22 PM,-1,3,6,3,15,43,63,0.0,1012,8,10,278,11,Washington
2020-01-27,9,3,0.0,6.7,2,11,10:09 AM,09:07 PM,08:19 AM,06:23 PM,-1,3,5,3,13,45,65,0.0,1010,9,10,277,9,Washington
2020-01-28,7,2,0.0,10.1,2,18,10:37 AM,10:05 PM,08:18 AM,06:24 PM,-3,0,4,0,21,8,62,0.0,1013,7,10,317,16,Washington
2020-01-29,6,1,0.0,10.0,1,26,11:03 AM,11:02 PM,08:17 AM,06:25 PM,-5,0,3,0,14,36,56,0.0,1018,6,10,273,12,Washington
2020-01-30,5,0,0.0,5.1,1,33,11:28 AM,11:59 PM,08:16 AM,06:26 PM,-6,1,2,1,6,82,53,0.4,1024,5,10,67,4,Washington
